G58..11	Cardiac failure
G58..00	Heart failure
G583.00	Heart failure with normal ejection fraction
G583.11	HFNEF - heart failure with normal ejection fraction
G583.12	Heart failure with preserved ejection fraction
G582.00	Acute heart failure
G58z.11	Weak heart
G58z.12	Cardiac failure NOS
G58z.00	Heart failure NOS
G584.00	Right ventricular failure
G580.00	Congestive heart failure
G580.11	Congestive cardiac failure
G580.12	Right heart failure
G580.14	Biventricular failure
G580.13	Right ventricular failure
G580400	Congestive heart failure due to valvular disease
G580300	Compensated cardiac failure
G580200	Decompensated cardiac failure
G580100	Chronic congestive heart failure
G580000	Acute congestive heart failure
G581.13	Impaired left ventricular function
G581.00	Left ventricular failure
G581000	Acute left ventricular failure
662i.00	New York Heart Association classification - class IV
662h.00	New York Heart Association classification - class III
662g.00	New York Heart Association classification - class II
662f.00	New York Heart Association classification - class I
G1yz100	Rheumatic left ventricular failure
1O1..00	Heart failure confirmed
33BA.00	Impaired left ventricular function
