C10..00	Diabetes mellitus
C10z.00	Diabetes mellitus with unspecified complication
C10zz00	Diabetes mellitus NOS with unspecified complication
C10zy00	Other specified diabetes mellitus with unspecified complications
C10y.00	Diabetes mellitus with other specified manifestation
C10yz00	Diabetes mellitus NOS with other specified manifestation
C10yy00	Other specified diabetes mellitus with other specified complications
C10N.00	Secondary diabetes mellitus
C10N100	Cystic fibrosis related diabetes mellitus
C10N000	Secondary diabetes mellitus without complication
C10M.00	Lipoatrophic diabetes mellitus
C10M000	Lipoatrophic diabetes mellitus without complication
C10H.00	Diabetes mellitus induced by non-steroid drugs
C10H000	Diabetes mellitus induced by non-steroid drugs without complication
C10G.00	Secondary pancreatic diabetes mellitus
C10G000	Secondary pancreatic diabetes mellitus without complication
C10FS00	Maternally inherited diabetes mellitus
C10ER00	Latent autoimmune diabetes mellitus in adult
C10B.00	Diabetes mellitus induced by steroids
C10B000	Steroid induced diabetes mellitus without complication
C10A.00	Malnutrition-related diabetes mellitus
C10A.11	Jamaica type diabetes
C10AX00	Malnutrition-related diabetes mellitus with other specified complications
C10AW00	Malnutrition-related diabetes mellitus with unspecified complications
C10A700	Malnutrition-related diabetes mellitus without complications
C10A600	Malnutrition-related diabetes mellitus with multiple complications
C10A500	Malnutrition-related diabetes mellitus with peripheral circulatory complications
C10A400	Malnutrition-related diabetes mellitus with neurological complications
C10A300	Malnutrition-related diabetes mellitus with ophthalmic complications
C10A200	Malnutrition-related diabetes mellitus with renal complications
C10A100	Malnutrition-related diabetes mellitus with ketoacidosis
C10A000	Malnutrition-related diabetes mellitus with coma
C108z00	Unspecified diabetes mellitus with multiple complications
C108y00	Other specified diabetes mellitus with multiple complications
C107.00	Diabetes mellitus with peripheral circulatory disorder
C107.11	Diabetes mellitus with gangrene
C107.12	Diabetes with gangrene
C107z00	Diabetes mellitus NOS with peripheral circulatory disorder
C107y00	Other specified diabetes mellitus with peripheral circulatory complications
C107200	Diabetes mellitus, adult with gangrene
C105.00	Diabetes mellitus with ophthalmic manifestation
C105z00	Diabetes mellitus NOS with ophthalmic manifestation
C105y00	Other specified diabetes mellitus with ophthalmic complications
C103.00	Diabetes mellitus with ketoacidotic coma
C103z00	Diabetes mellitus NOS with ketoacidotic coma
C103y00	Other specified diabetes mellitus with coma
C102.00	Diabetes mellitus with hyperosmolar coma
C102z00	Diabetes mellitus NOS with hyperosmolar coma
C101.00	Diabetes mellitus with ketoacidosis
C101z00	Diabetes mellitus NOS with ketoacidosis
C101y00	Other specified diabetes mellitus with ketoacidosis
C100.00	Diabetes mellitus with no mention of complication
C100z00	Diabetes mellitus NOS with no mention of complication
C100111	Maturity onset diabetes
C106.00	Diabetes mellitus with neurological manifestation
C106z00	Diabetes mellitus NOS with neurological manifestation
C106y00	Other specified diabetes mellitus with neurological complications
C104.00	Diabetes mellitus with renal manifestation
C104y00	Other specified diabetes mellitus with renal complications
C10Q.00	Maturity onset diabetes of the young type 5
C10C.00	Diabetes mellitus autosomal dominant
C10C.11	Maturity onset diabetes in youth
66AU.00	Diabetes care by hospital only
66AJ.11	Unstable diabetes
66AJ100	Brittle diabetes
Cyu2.00	[X]Diabetes mellitus
Cyu2300	[X]Unspecified diabetes mellitus with renal complications
Cyu2200	[X]Malnutrition-related diabetes mellitus with unspecified complications
Cyu2100	[X]Malnutrition-related diabetes mellitus with other specified complications
Cyu2000	[X]Other specified diabetes mellitus
8Hgd.00	Discharge from secondary care diabetes service
C11y000	Steroid induced diabetes
C314.11	Renal diabetes
C350011	Bronzed diabetes
PKyP.00	Diabetes insipidus, diabetes mellitus, optic atrophy and deafness
Kyu0300	[X]Glomerular disorders in diabetes mellitus
