ftr..	METFORMIN + EMPAGLIFLOZIN
ftr8.	Empagliflozin 12.5mg / Metformin 1g tablets
ftr6.	Empagliflozin 12.5mg / Metformin 850mg tablets
ftr4.	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/1000mg tablets
ftr2.	Empagliflozin 5mg / Metformin 850mg tablets
ftr7.	SYNJARDY 12.5mg/1000mg tablets
ftr5.	SYNJARDY 12.5mg/850mg tablets
ftr3.	SYNJARDY 5mg/1000mg tablets
ftr1.	SYNJARDY 5mg/850mg tablets
ftp..	METFORMIN + CANAGLIFLOZIN
ftp4.	CANAGLIFLOZIN+METFORMIN HYDROCHLORIDE 50mg/1000mg tablets
ftp2.	CANAGLIFLOZIN+METFORMIN HYDROCHLORIDE 50mg/850mg tablets
ftp3.	VOKANAMET 50mg/1000mg tablets
ftp1.	VOKANAMET 50mg/850mg tablets
ftm..	METFORMIN + DAPAGLIFLOZIN
ftm4.	Dapagliflozin 5mg / Metformin 1g tablets
ftm2.	DAPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/850mg tablets
ftm3.	XIGDUO 5mg/1000mg tablets
ftm1.	XIGDUO 5mg/850mg tablets
ftl..	METFORMIN + ALOGLIPTIN
ftl2.	Alogliptin 12.5mg / Metformin 1g tablets
ftl1.	VIPDOMET 12.5mg/1000mg tablets
fti..	METFORMIN + SAXAGLIPTIN
fti4.	Saxagliptin 2.5mg / Metformin 1g tablets
fti2.	Saxagliptin 2.5mg / Metformin 850mg tablets
fti3.	KOMBOGLYZE 2.5mg/1000mg tablets
fti1.	KOMBOGLYZE 2.5mg/850mg tablets
ftg..	METFORMIN + LINAGLIPTIN
ftg4.	LINAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/1000mg tablets
ftg2.	LINAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/850mg tablets
ftg3.	JENTADUETO 2.5mg/1000mg tablets
ftg1.	JENTADUETO 2.5mg/850mg tablets
fte..	METFORMIN + SITAGLIPTIN
ftez.	SITAGLIPTIN + METFORMIN tabs 50mg + 1000mg
fte1.	JANUMET tabs 50mg + 1000mg
ftb..	METFORMIN + VILDAGLIPTIN
ftbz.	Vildagliptin 50mg / Metformin 850mg tablets
ftby.	Vildagliptin 50mg / Metformin 1g tablets
ftb2.	EUCREAS tabs 50mg + 1000mg
ftb1.	EUCREAS tabs 50mg + 850mg
ft7..	Pioglitazone 15mg / Metformin 850mg tablets
ft7z.	PIOGLITAZONE + METFORMIN tabs 15mg + 850mg
