E203.00	Obsessive-compulsive disorders
E203.11	Anancastic neurosis
E203000	Compulsive neurosis
E203100	Obsessional neurosis
E203z00	Obsessive-compulsive disorder NOS
Eu42.00	[X]Obsessive - compulsive disorder
Eu42.11	[X]Anankastic neurosis
Eu42.12	[X]Obsessive-compulsive neurosis
Eu42000	[X]Predominantly obsessional thoughts or ruminations
Eu42100	[X]Predominantly compulsive acts [obsessional rituals]
Eu42200	[X]Mixed obsessional thoughts and acts
Eu42y00	[X]Other obsessive-compulsive disorders
Eu42z00	[X]Obsessive-compulsive disorder, unspecified
Eu60513	[X]Obsessive-compulsive personality disorder
Z522600	Flooding - obsessional compulsive disorder
