663V300	Severe asthma
663V200	Moderate asthma
663V100	Mild asthma
663V000	Occasional asthma
H3B..00	Asthma-chronic obstructive pulmonary disease overlap syndrome
H33..00	Asthma
H33..11	Bronchial asthma
H335.00	Chronic asthma with fixed airflow obstruction
H334.00	Brittle asthma
H333.00	Acute exacerbation of asthma
H332.00	Mixed asthma
H331.00	Intrinsic asthma
H331.11	Late onset asthma
H331z00	Intrinsic asthma NOS
H331100	Intrinsic asthma with status asthmaticus
H331111	Intrinsic asthma with asthma attack
H331000	Intrinsic asthma without status asthmaticus
H330.00	Extrinsic (atopic) asthma
H330.11	Allergic asthma
H330.12	Childhood asthma
H330.13	Hay fever with asthma
H330.14	Pollen asthma
H330z00	Extrinsic asthma NOS
H330100	Extrinsic asthma with status asthmaticus
H330111	Extrinsic asthma with asthma attack
H330000	Extrinsic asthma without status asthmaticus
H330011	Hay fever with asthma
H33z.00	Asthma unspecified
H33z200	Late-onset asthma
H33z100	Asthma attack
H33z111	Asthma attack NOS
H33zz00	Asthma NOS
H33zz11	Exercise induced asthma
H33zz12	Allergic asthma NEC
H33z000	Status asthmaticus NOS
H33z011	Severe asthma attack
173A.00	Exercise induced asthma
1O2..00	Asthma confirmed
H312000	Chronic asthmatic bronchitis
