H3...11	Chronic obstructive airways disease
H3...00	Chronic obstructive pulmonary disease
H3B..00	Asthma-chronic obstructive pulmonary disease overlap syndrome
H39..00	Very severe chronic obstructive pulmonary disease
H38..00	Severe chronic obstructive pulmonary disease
H37..00	Moderate chronic obstructive pulmonary disease
H36..00	Mild chronic obstructive pulmonary disease
H3z..00	Chronic obstructive airways disease NOS
H3z..11	Chronic obstructive pulmonary disease NOS
H3y..00	Other specified chronic obstructive airways disease
H3y..11	Other specified chronic obstructive pulmonary disease
H3A..00	End stage chronic obstructive airways disease
H32..00	Emphysema
H32z.00	Emphysema NOS
H32y.00	Other emphysema
H32yz00	Other emphysema NOS
H32y200	MacLeod's unilateral emphysema
H32y100	Atrophic (senile) emphysema
H32y000	Acute vesicular emphysema
H322.00	Centrilobular emphysema
H321.00	Panlobular emphysema
H320.00	Chronic bullous emphysema
H320z00	Chronic bullous emphysema NOS
H320300	Bullous emphysema with collapse
H320200	Giant bullous emphysema
H320100	Zonal bullous emphysema
H320000	Segmental bullous emphysema
H31..00	Chronic bronchitis
H31z.00	Chronic bronchitis NOS
H31y.00	Other chronic bronchitis
H31yz00	Other chronic bronchitis NOS
H31y100	Chronic tracheobronchitis
H313.00	Mixed simple and mucopurulent chronic bronchitis
H312.00	Obstructive chronic bronchitis
H312z00	Obstructive chronic bronchitis NOS
H312300	Bronchiolitis obliterans
H312100	Emphysematous bronchitis
H312000	Chronic asthmatic bronchitis
H312011	Chronic wheezy bronchitis
H311.00	Mucopurulent chronic bronchitis
H311z00	Mucopurulent chronic bronchitis NOS
H311100	Fetid chronic bronchitis
H311000	Purulent chronic bronchitis
H310.00	Simple chronic bronchitis
H310z00	Simple chronic bronchitis NOS
H310000	Chronic catarrhal bronchitis
Hyu3000	[X]Other emphysema
Hyu3100	[X]Other specified chronic obstructive pulmonary disease
H464100	Obliterative bronchiolitis due to chemical fumes
H464000	Chronic emphysema due to chemical fumes
H583200	Eosinophilic bronchitis
8H2R.00	Admit COPD emergency
