Year,Month,NewCasesOfAnxietyDisorders
1900,1,113
1907,1,1
1911,7,1
1949,1,1
1953,1,3
1953,4,1
1953,10,1
1953,11,1
1954,1,3
1954,10,1
1955,7,1
1956,1,1
1957,7,1
1957,8,1
1957,12,2
1958,1,1
1958,8,1
1959,1,1
1959,11,1
1960,1,1
1960,5,1
1960,7,1
1961,1,1
1961,7,1
1961,9,2
1961,12,1
1962,1,5
1962,4,1
1962,7,1
1962,10,1
1962,12,1
1963,1,4
1963,4,1
1964,1,4
1964,2,1
1964,6,1
1965,1,1
1965,6,1
1965,8,1
1965,9,1
1965,10,1
1965,12,2
1966,1,3
1966,3,1
1966,6,1
1966,10,1
1967,1,8
1967,2,1
1967,3,4
1967,5,2
1967,9,1
1967,11,1
1968,1,6
1968,5,1
1968,6,1
1968,8,2
1968,9,1
1968,10,2
1969,1,6
1969,2,1
1969,3,1
1969,4,2
1969,6,2
1969,7,3
1969,8,2
1969,11,1
1969,12,1
1970,1,12
1970,2,1
1970,6,2
1970,7,2
1970,8,2
1970,10,2
1970,11,2
1971,1,7
1971,2,2
1971,3,4
1971,5,1
1971,7,3
1971,9,1
1971,10,1
1971,12,5
1972,1,9
1972,2,1
1972,3,1
1972,4,1
1972,5,2
1972,6,1
1972,7,1
1972,8,1
1972,9,1
1972,10,5
1972,11,3
1972,12,2
1973,1,11
1973,2,4
1973,3,1
1973,4,2
1973,5,2
1973,6,1
1973,7,1
1973,8,3
1973,9,2
1973,10,2
1973,12,3
1974,1,20
1974,2,1
1974,4,1
1974,5,3
1974,6,2
1974,7,2
1974,8,2
1974,9,1
1974,10,1
1975,1,17
1975,2,2
1975,3,3
1975,4,2
1975,6,3
1975,7,3
1975,8,2
1975,9,1
1975,10,3
1975,11,1
1976,1,23
1976,2,2
1976,3,5
1976,4,1
1976,5,4
1976,6,4
1976,7,4
1976,8,2
1976,9,3
1976,10,6
1976,11,8
1976,12,4
1977,1,11
1977,2,3
1977,3,2
1977,4,2
1977,5,1
1977,7,1
1977,8,2
1977,9,5
1977,10,5
1977,11,1
1978,1,22
1978,2,3
1978,3,4
1978,4,3
1978,5,1
1978,6,3
1978,7,2
1978,8,4
1978,9,5
1978,10,1
1978,11,3
1978,12,4
1979,1,21
1979,2,6
1979,3,7
1979,6,2
1979,7,5
1979,8,4
1979,9,4
1979,10,5
1979,11,4
1979,12,3
1980,1,26
1980,2,3
1980,3,4
1980,4,1
1980,5,1
1980,6,3
1980,7,4
1980,8,1
1980,9,5
1980,10,1
1980,11,1
1980,12,3
1981,1,27
1981,2,2
1981,4,2
1981,5,3
1981,6,4
1981,7,6
1981,8,4
1981,9,4
1981,10,1
1981,11,4
1981,12,1
1982,1,17
1982,3,4
1982,4,4
1982,5,5
1982,6,7
1982,7,3
1982,8,4
1982,9,10
1982,10,5
1982,11,4
1982,12,4
1983,1,21
1983,2,6
1983,3,6
1983,4,2
1983,5,2
1983,6,10
1983,7,1
1983,8,4
1983,9,3
1983,10,3
1983,11,4
1983,12,4
1984,1,27
1984,2,2
1984,3,6
1984,4,8
1984,5,7
1984,6,11
1984,7,6
1984,8,7
1984,9,13
1984,10,6
1984,11,4
1984,12,3
1985,1,40
1985,2,6
1985,3,8
1985,4,2
1985,5,5
1985,6,7
1985,7,8
1985,8,8
1985,9,3
1985,10,6
1985,11,4
1985,12,3
1986,1,45
1986,2,3
1986,3,7
1986,4,8
1986,5,7
1986,6,3
1986,7,8
1986,8,3
