Year,Month,NewCasesOfDepression
1899,12,2
1900,1,167
1911,7,1
1951,1,1
1953,10,1
1953,11,1
1954,10,1
1956,10,1
1957,7,1
1957,8,2
1958,1,1
1958,3,1
1958,10,1
1958,11,2
1958,12,1
1960,1,1
1960,3,1
1960,7,1
1961,1,3
1961,3,1
1961,7,1
1961,9,1
1961,12,1
1962,1,4
1962,7,1
1962,9,1
1962,10,3
1962,11,1
1962,12,2
1963,1,4
1963,3,1
1963,11,1
1964,1,4
1964,4,1
1964,6,2
1964,9,1
1965,1,4
1965,2,1
1965,5,2
1965,6,2
1965,10,1
1965,11,1
1966,1,7
1966,3,1
1966,4,1
1966,6,1
1966,7,1
1966,9,1
1966,10,1
1966,12,3
1967,1,7
1967,2,1
1967,3,2
1967,4,2
1967,5,1
1967,6,1
1967,7,2
1967,8,1
1967,11,1
1967,12,1
1968,1,6
1968,2,2
1968,4,1
1968,5,1
1968,6,3
1968,7,1
1968,8,2
1968,9,2
1968,10,3
1969,1,16
1969,2,5
1969,3,3
1969,4,1
1969,6,4
1969,7,2
1969,8,2
1969,9,1
1969,10,1
1969,11,3
1970,1,16
1970,2,5
1970,3,1
1970,4,2
1970,5,2
1970,6,3
1970,7,2
1970,8,1
1970,9,2
1970,10,2
1970,11,3
1970,12,2
1971,1,20
1971,3,4
1971,4,1
1971,5,4
1971,7,3
1971,8,1
1971,9,2
1971,10,1
1971,11,3
1971,12,3
1972,1,17
1972,2,2
1972,3,3
1972,4,1
1972,5,7
1972,6,1
1972,7,3
1972,8,2
1972,9,2
1972,10,5
1972,11,8
1972,12,5
1973,1,19
1973,2,2
1973,3,6
1973,4,3
1973,5,1
1973,6,6
1973,7,1
1973,8,3
1973,10,6
1973,11,3
1973,12,4
1974,1,17
1974,2,3
1974,3,1
1974,5,6
1974,6,1
1974,7,3
1974,8,2
1974,9,4
1974,10,3
1974,11,3
1974,12,3
1975,1,20
1975,2,3
1975,3,2
1975,4,1
1975,5,1
1975,6,3
1975,7,1
1975,8,4
1975,9,3
1975,10,1
1975,11,5
1975,12,3
1976,1,27
1976,2,4
1976,3,3
1976,4,3
1976,5,7
1976,6,3
1976,7,4
1976,8,2
1976,9,7
1976,10,4
1976,11,7
1976,12,4
1977,1,23
1977,2,5
1977,3,2
1977,4,5
1977,5,2
1977,6,4
1977,7,4
1977,8,3
1977,9,1
1977,10,1
1977,11,4
1977,12,2
1978,1,18
1978,2,5
1978,3,2
1978,4,1
1978,5,4
1978,6,1
1978,7,1
1978,8,4
1978,9,8
1978,10,3
1978,11,3
1978,12,7
1979,1,17
1979,2,4
1979,3,6
1979,5,4
1979,7,4
1979,8,4
1979,9,2
1979,10,2
1979,11,4
1979,12,4
1980,1,28
1980,2,6
1980,3,6
1980,4,1
1980,5,5
1980,6,4
1980,7,4
1980,8,2
1980,9,5
1980,10,2
1980,11,7
1980,12,8
1981,1,26
1981,2,3
1981,3,4
1981,4,4
1981,5,4
1981,6,3
1981,7,2
1981,8,3
1981,9,5
1981,10,2
1981,11,3
1981,12,4
1982,1,29
1982,2,1
1982,3,4
1982,4,8
1982,5,5
1982,6,5
1982,7,3
1982,8,3
1982,9,5
1982,10,3
1982,11,3
1982,12,2
1983,1,25
1983,2,5
1983,3,12
1983,4,8
1983,5,4
1983,6,7
1983,7,3
1983,8,4
1983,9,3
1983,10,2
1983,11,3
1983,12,5
1984,1,33
1984,2,5
1984,3,7
1984,4,3
1984,5,6
1984,6,8
1984,7,3
1984,8,10
1984,9,4
1984,10,11
1984,11,6
1984,12,7
1985,1,40
1985,2,10
1985,3,8
1985,4,6
1985,5,7
1985,6,7
1985,7,4
1985,8,3
1985,9,3
1985,10,4
1985,11,10
1985,12,1
1986,1,48
1986,2,2
1986,3,3
1986,4,4
1986,5,2
1986,6,3
1986,7,8
1986,8,4
1986,9,10
1986,10,10
1986,11,10
1986,12,9
1987,1,41
1987,2,5
1987,3,8
1987,4,4
1987,5,7
1987,6,5
1987,7,8
1987,8,3
1987,9,8
1987,10,6
1987,11,2
1987,12,7
1988,1,53
1988,2,5
1988,3,11
1988,4,6
1988,5,15
1988,6,10
1988,7,7
1988,8,12
1988,9,12
1988,10,11
1988,11,9
1988,12,11
1989,1,42
1989,2,18
1989,3,10
1989,4,11
1989,5,14
1989,6,10
1989,7,16
1989,8,16
1989,9,19
1989,10,21
1989,11,11
1989,12,13
1990,1,72
1990,2,16
1990,3,12
1990,4,25
1990,5,20
1990,6,14
1990,7,21
1990,8,22
1990,9,23
1990,10,24
1990,11,17
1990,12,21
1991,1,73
1991,2,22
1991,3,26
1991,4,26
1991,5,13
1991,6,23
1991,7,35
1991,8,20
1991,9,31
1991,10,26
1991,11,35
1991,12,26
1992,1,90
1992,2,38
1992,3,26
1992,4,44
1992,5,21
1992,6,41
1992,7,37
1992,8,30
1992,9,44
1992,10,42
1992,11,40
1992,12,39
1993,1,93
1993,2,31
1993,3,47
1993,4,47
1993,5,33
1993,6,32
1993,7,38
1993,8,27
1993,9,33
1993,10,34
1993,11,48
1993,12,39
1994,1,111
1994,2,45
1994,3,53
1994,4,39
1994,5,34
1994,6,41
1994,7,27
1994,8,30
1994,9,38
1994,10,59
1994,11,56
1994,12,45
1995,1,154
1995,2,48
1995,3,59
1995,4,60
1995,5,69
1995,6,63
1995,7,44
1995,8,51
1995,9,64
1995,10,72
1995,11,56
1995,12,48
1996,1,164
1996,2,54
1996,3,65
1996,4,60
1996,5,59
1996,6,38
1996,7,73
1996,8,36
1996,9,55
1996,10,53
1996,11,63
1996,12,64
1997,1,160
1997,2,61
1997,3,75
1997,4,51
1997,5,68
1997,6,64
1997,7,79
1997,8,55
1997,9,81
1997,10,68
1997,11,59
1997,12,53
1998,1,200
1998,2,74
1998,3,65
1998,4,70
1998,5,58
1998,6,77
1998,7,82
1998,8,65
1998,9,66
1998,10,77
1998,11,84
1998,12,64
1999,1,162
1999,2,76
1999,3,79
1999,4,91
1999,5,75
1999,6,84
1999,7,79
1999,8,95
1999,9,97
1999,10,102
1999,11,102
1999,12,86
2000,1,215
2000,2,114
2000,3,122
2000,4,78
2000,5,95
2000,6,104
2000,7,95
2000,8,85
2000,9,105
2000,10,85
2000,11,96
2000,12,70
2001,1,186
2001,2,102
2001,3,118
2001,4,98
2001,5,99
2001,6,95
2001,7,129
2001,8,89
2001,9,101
2001,10,143
2001,11,139
2001,12,98
2002,1,209
2002,2,123
2002,3,147
2002,4,369
2002,5,126
2002,6,130
2002,7,148
2002,8,119
2002,9,132
2002,10,134
2002,11,143
2002,12,112
2003,1,331
2003,2,126
2003,3,140
2003,4,116
2003,5,96
2003,6,105
2003,7,148
2003,8,138
2003,9,139
2003,10,164
2003,11,154
2003,12,144
2004,1,238
2004,2,198
2004,3,176
2004,4,155
2004,5,152
2004,6,167
2004,7,177
2004,8,156
2004,9,187
2004,10,177
2004,11,206
2004,12,159
2005,1,220
2005,2,167
2005,3,158
2005,4,195
2005,5,183
2005,6,154
2005,7,181
2005,8,199
2005,9,185
2005,10,166
2005,11,208
2005,12,158
2006,1,273
2006,2,173
2006,3,212
2006,4,152
2006,5,153
2006,6,189
2006,7,187
2006,8,173
2006,9,211
2006,10,228
2006,11,256
2006,12,187
2007,1,328
2007,2,212
2007,3,280
2007,4,189
2007,5,205
2007,6,215
2007,7,251
2007,8,189
2007,9,193
2007,10,246
2007,11,222
2007,12,196
2008,1,314
2008,2,239
2008,3,203
2008,4,211
2008,5,167
2008,6,196
2008,7,192
2008,8,208
2008,9,235
2008,10,227
2008,11,215
2008,12,189
2009,1,275
2009,2,218
2009,3,251
2009,4,192
2009,5,208
2009,6,248
2009,7,243
2009,8,208
2009,9,241
2009,10,222
2009,11,209
2009,12,200
2010,1,283
2010,2,255
2010,3,300
2010,4,229
2010,5,218
2010,6,232
2010,7,227
2010,8,233
2010,9,235
2010,10,216
2010,11,284
2010,12,153
2011,1,292
2011,2,240
2011,3,261
2011,4,235
2011,5,237
2011,6,228
2011,7,211
2011,8,261
2011,9,260
2011,10,232
2011,11,248
2011,12,220
2012,1,324
2012,2,228
2012,3,260
2012,4,196
2012,5,258
2012,6,208
2012,7,231
2012,8,227
2012,9,248
2012,10,284
2012,11,241
2012,12,224
2013,1,331
2013,2,246
2013,3,261
2013,4,251
2013,5,234
2013,6,218
2013,7,244
2013,8,222
2013,9,262
2013,10,267
2013,11,248
2013,12,229
2014,1,306
2014,2,246
2014,3,263
2014,4,223
2014,5,242
2014,6,226
2014,7,270
2014,8,224
2014,9,266
2014,10,269
2014,11,272
2014,12,248
2015,1,316
2015,2,280
2015,3,331
2015,4,236
2015,5,224
2015,6,266
2015,7,267
2015,8,237
2015,9,263
2015,10,287
2015,11,313
2015,12,248
2016,1,340
2016,2,317
2016,3,296
2016,4,267
2016,5,263
2016,6,275
2016,7,273
2016,8,274
2016,9,308
2016,10,289
2016,11,331
2016,12,240
2017,1,316
2017,2,276
2017,3,344
2017,4,226
2017,5,301
2017,6,276
2017,7,308
2017,8,280
2017,9,329
2017,10,365
2017,11,381
2017,12,232
2018,1,375
2018,2,296
2018,3,327
2018,4,329
2018,5,340
2018,6,336
2018,7,381
2018,8,296
2018,9,323
2018,10,420
2018,11,397
2018,12,297
2019,1,385
2019,2,352
2019,3,429
2019,4,338
2019,5,355
2019,6,367
2019,7,373
2019,8,315
2019,9,340
2019,10,426
2019,11,419
2019,12,313
2020,1,383
2020,2,369
2020,3,184
