Year,Month,NewCasesOfOcd
1900,1,4
1949,1,1
1961,9,1
1963,4,1
1967,1,1
1969,4,1
1972,1,1
1976,1,2
1977,2,1
1977,4,1
1977,12,1
1978,4,1
1979,1,2
1979,10,1
1980,1,1
1980,9,1
1981,1,1
1982,1,1
1984,1,2
1984,6,1
1984,7,1
1985,1,1
1985,3,1
1986,1,1
1986,3,1
1986,9,1
1986,12,2
1987,1,2
1987,2,1
1988,1,1
1988,5,1
1988,6,1
1988,9,1
1989,1,2
1990,1,2
1990,2,1
1990,6,3
1990,10,1
1991,1,3
1991,2,1
1991,4,2
1991,7,2
1992,1,2
1992,2,1
1992,6,1
1992,7,1
1992,10,1
1992,11,2
1992,12,1
1993,1,1
1993,2,1
1993,4,1
1993,5,1
1993,6,1
1993,11,2
1994,1,3
1994,4,1
1994,5,2
1994,6,1
1994,7,2
1994,9,1
1994,11,1
1995,1,8
1995,3,2
1995,4,1
1995,5,1
1995,6,1
1995,8,1
1995,11,1
1996,1,2
1996,5,3
1996,6,2
1996,9,3
1997,1,2
1997,2,3
1997,3,1
1997,6,2
1997,8,4
1997,9,2
1997,11,1
1997,12,1
1998,1,4
1998,2,3
1998,3,4
1998,4,3
1998,5,2
1998,8,1
1998,9,1
1998,10,1
1998,11,3
1999,1,4
1999,3,4
1999,4,1
1999,6,2
1999,7,3
1999,8,3
1999,9,1
1999,10,1
2000,1,4
2000,3,2
2000,5,1
2000,6,1
2000,8,1
2000,9,3
2000,10,3
2000,11,3
2001,2,1
2001,3,2
2001,4,1
2001,5,3
2001,6,1
2001,8,1
2001,9,1
2001,10,2
2001,12,3
2002,1,5
2002,2,3
2002,3,6
2002,4,1
2002,5,1
2002,9,3
2002,11,2
2002,12,1
2003,1,5
2003,2,2
2003,3,4
2003,4,2
2003,5,2
2003,6,4
2003,7,2
2003,8,1
2003,10,2
2003,11,3
2003,12,1
2004,1,8
2004,3,2
2004,5,3
2004,6,2
2004,7,2
2004,8,2
2004,9,3
2004,10,3
2004,11,3
2004,12,2
2005,1,6
2005,2,4
2005,3,1
2005,4,4
2005,5,6
2005,6,2
2005,7,2
2005,10,3
2005,11,4
2005,12,6
2006,1,15
2006,2,1
2006,3,2
2006,4,4
2006,5,3
2006,6,3
2006,7,6
2006,8,3
2006,9,7
2006,10,7
2006,11,6
2006,12,1
2007,1,7
2007,2,4
2007,3,6
2007,4,7
2007,5,5
2007,6,5
2007,8,2
2007,9,1
2007,10,4
2007,11,6
2007,12,3
2008,1,5
2008,2,5
2008,3,1
2008,4,5
2008,5,8
2008,6,2
2008,7,5
2008,8,5
2008,9,3
2008,10,2
2008,11,2
2008,12,4
2009,1,7
2009,2,4
2009,3,2
2009,5,2
2009,6,7
2009,7,6
2009,8,5
2009,9,5
2009,10,5
2009,11,5
2009,12,4
2010,1,3
2010,2,2
2010,3,7
2010,4,5
2010,5,4
2010,6,3
2010,7,3
2010,8,3
2010,10,5
2010,11,3
2010,12,3
2011,1,7
2011,2,4
2011,3,2
2011,4,7
2011,5,3
2011,6,4
2011,7,5
2011,8,4
2011,9,2
2011,10,4
2011,11,2
2011,12,3
2012,1,7
2012,2,3
2012,3,4
2012,4,5
2012,5,3
2012,6,3
2012,7,6
2012,8,4
2012,9,5
2012,10,3
2012,11,4
2012,12,6
2013,1,5
2013,2,3
2013,3,2
2013,4,2
2013,5,5
2013,6,2
2013,7,6
2013,8,9
2013,9,5
2013,10,4
2013,11,4
2013,12,3
2014,1,4
2014,2,3
2014,3,5
2014,4,4
2014,5,5
2014,6,2
2014,7,6
2014,8,5
2014,9,3
2014,10,5
2014,11,7
2014,12,2
2015,1,4
2015,2,4
2015,3,2
2015,4,5
2015,5,3
2015,6,8
2015,7,2
2015,8,3
2015,9,7
2015,10,6
2015,11,8
2015,12,4
2016,1,3
2016,2,1
2016,3,7
2016,4,6
2016,5,2
2016,6,5
2016,7,3
2016,8,6
2016,9,6
2016,10,4
2016,11,4
2016,12,5
2017,1,2
2017,2,8
2017,3,3
2017,4,5
2017,5,4
2017,6,5
2017,7,4
2017,8,4
2017,9,5
2017,10,3
2017,11,4
2017,12,1
2018,1,7
2018,2,3
2018,3,3
2018,4,9
2018,5,6
2018,6,4
2018,7,5
2018,8,7
2018,9,7
2018,10,4
2018,11,6
2018,12,2
2019,1,10
2019,2,6
2019,3,8
2019,4,5
2019,5,2
2019,6,5
2019,7,4
2019,8,3
2019,9,10
2019,10,6
2019,11,4
2019,12,5
2020,1,9
2020,2,4
2020,3,4
