Year,Month,NewCasesOfPersonalityDisorders
1900,1,9
1962,5,1
1963,1,1
1964,4,1
1964,5,1
1965,3,1
1965,5,1
1965,10,1
1966,12,1
1967,1,1
1968,1,1
1968,8,1
1969,1,1
1969,2,1
1969,5,1
1969,7,1
1969,8,1
1970,2,1
1970,6,2
1970,9,2
1970,10,1
1971,1,1
1971,9,1
1971,10,1
1972,1,2
1972,3,1
1972,9,1
1972,11,2
1973,1,2
1973,3,1
1973,5,1
1973,11,2
1974,1,1
1974,2,1
1974,4,1
1974,8,1
1974,10,1
1974,12,1
1975,1,4
1975,6,1
1975,7,1
1975,11,1
1976,1,4
1976,2,1
1976,3,1
1976,5,1
1976,7,1
1977,1,7
1977,3,1
1977,6,1
1978,1,4
1978,3,1
1978,10,1
1978,11,1
1979,1,1
1979,3,1
1979,4,1
1979,8,1
1979,10,1
1980,1,3
1980,5,2
1980,6,1
1980,9,1
1981,1,1
1981,2,1
1981,4,1
1981,6,2
1981,9,2
1981,12,2
1982,1,1
1982,4,2
1983,1,1
1983,2,1
1983,4,1
1983,5,1
1983,7,1
1983,8,1
1983,9,1
1983,10,2
1984,1,4
1984,3,1
1984,7,1
1984,8,2
1984,10,2
1984,11,1
1985,1,6
1985,2,2
1985,4,1
1985,7,1
1985,9,1
1985,11,1
1986,1,7
1986,2,1
1986,3,1
1986,5,1
1986,6,1
1986,7,3
1986,8,2
1986,9,3
1986,10,1
1986,11,1
1986,12,1
1987,1,5
1987,4,1
1987,8,1
1987,9,1
1988,1,4
1988,2,1
1988,3,4
1988,5,1
1988,7,1
1988,8,1
1988,11,1
1989,1,1
1989,6,1
1989,8,1
1989,9,3
1989,10,1
1990,1,10
1990,2,3
1990,3,2
1990,6,2
1990,7,1
1990,8,1
1990,10,3
1990,11,1
1990,12,3
1991,1,1
1991,2,1
1991,3,1
1991,5,1
1991,7,1
1991,10,1
1992,1,3
1992,2,2
1992,3,2
1992,4,2
1992,5,2
1992,6,5
1992,7,1
1992,8,2
1992,9,1
1992,10,1
1992,12,2
1993,1,7
1993,2,2
1993,3,2
1993,4,1
1993,8,1
1993,10,1
1993,11,6
1993,12,2
1994,1,4
1994,2,2
