Year,Month,NewCasesOfSelfHarm
1900,1,10
1960,1,2
1960,6,1
1961,10,1
1962,1,1
1962,12,1
1963,3,1
1963,4,1
1963,9,1
1964,12,1
1965,1,2
1965,10,1
1966,10,1
1967,1,2
1967,6,1
1967,7,1
1967,10,1
1968,1,1
1968,10,1
1969,1,3
1969,4,2
1970,1,3
1970,3,1
1970,5,1
1970,9,2
1971,1,4
1971,6,1
1971,8,1
1972,1,4
1972,2,1
1972,4,2
1972,8,1
1972,9,1
1972,11,1
1973,1,1
1973,2,1
1973,3,2
1973,8,1
1973,10,2
1973,11,1
1974,1,2
1974,3,2
1974,5,2
1974,7,1
1974,9,2
1974,10,1
1974,11,1
1975,1,5
1975,2,1
1975,3,2
1975,4,1
1975,5,2
1975,6,1
1975,7,1
1975,10,1
1975,12,1
1976,1,2
1976,2,1
1976,3,1
1976,4,1
1976,5,2
1976,6,2
1976,7,2
1976,10,1
1976,11,1
1977,1,10
1977,2,1
1977,4,1
1977,5,1
1977,6,2
1977,8,1
1977,11,1
1978,1,6
1978,2,2
1978,3,1
1978,4,1
1978,5,2
1978,6,2
1978,7,1
1978,8,1
1978,9,1
1978,10,2
1978,11,1
1978,12,2
1979,1,3
1979,2,1
1979,3,4
1979,7,4
1979,8,1
1979,10,3
1979,12,2
1980,1,8
1980,2,2
1980,3,2
1980,4,1
1980,5,1
1980,6,2
1980,7,1
1980,9,3
1980,10,1
1980,11,1
1980,12,2
1981,1,9
1981,2,1
1981,3,1
1981,4,2
1981,5,1
1981,6,3
1981,7,1
1981,9,1
1981,10,3
1981,11,1
1981,12,1
1982,1,5
1982,2,1
1982,3,1
1982,4,1
1982,5,2
1982,9,2
1982,10,1
1982,12,2
1983,1,6
1983,3,3
1983,4,2
1983,5,4
1983,6,1
1983,7,1
1983,9,2
1983,10,1
1983,12,1
1984,1,6
1984,3,4
1984,4,1
1984,5,2
1984,7,3
1984,8,2
1984,9,1
1984,10,1
1984,12,2
1985,1,10
1985,3,1
1985,4,2
1985,5,1
1985,6,1
1985,8,2
1985,9,2
1985,10,3
1985,11,1
1985,12,1
1986,1,5
1986,3,3
1986,4,3
1986,5,2
1986,7,1
1986,8,1
1986,9,2
1986,10,2
1986,11,1
1986,12,1
1987,1,3
1987,3,1
1987,4,1
1987,5,3
1987,6,3
1987,7,3
1987,8,1
1987,9,2
1987,10,2
1987,11,2
1987,12,3
1988,1,14
1988,2,5
1988,3,3
1988,4,5
1988,5,1
1988,6,2
1988,7,2
1988,8,1
1988,9,2
1988,10,3
1988,12,3
1989,1,16
1989,2,2
1989,3,5
1989,5,3
1989,6,3
1989,7,3
1989,8,1
1989,10,3
1989,11,3
1990,1,11
1990,2,1
1990,3,4
1990,4,3
1990,5,1
1990,6,3
1990,7,1
1990,8,2
1990,9,3
1990,10,6
1990,11,1
1990,12,1
1991,1,5
1991,2,5
1991,3,1
1991,4,5
1991,5,6
1991,9,5
1991,10,1
1991,11,1
1991,12,3
1992,1,11
1992,2,9
1992,3,2
1992,4,1
1992,6,7
1992,7,1
1992,8,2
1992,9,2
1992,10,4
1992,11,1
1992,12,2
1993,1,11
1993,2,6
1993,3,7
1993,4,4
1993,5,1
1993,6,5
1993,7,6
1993,8,1
1993,9,4
1993,10,6
1993,11,5
1993,12,6
1994,1,10
1994,2,6
1994,3,10
1994,4,5
1994,5,4
1994,6,4
1994,7,5
1994,8,5
1994,9,4
1994,10,6
1994,11,1
1994,12,3
1995,1,12
1995,2,3
1995,3,3
1995,4,2
1995,5,4
1995,6,4
1995,7,6
1995,8,4
1995,9,8
1995,10,5
1995,11,6
1995,12,8
1996,1,19
1996,2,4
1996,3,3
1996,4,2
1996,5,4
1996,6,5
1996,7,10
1996,8,2
1996,9,2
1996,10,7
1996,11,4
1996,12,6
1997,1,18
1997,2,5
1997,3,8
1997,4,5
1997,5,4
1997,6,5
1997,7,8
1997,8,5
1997,9,9
1997,10,1
1997,11,10
1997,12,7
1998,1,11
1998,2,4
1998,3,10
1998,4,7
1998,5,8
1998,6,2
1998,7,4
1998,8,7
1998,9,10
1998,10,11
1998,11,9
1998,12,4
1999,1,12
1999,2,7
1999,3,1
1999,4,5
1999,5,6
1999,6,7
1999,7,8
1999,8,8
1999,9,5
1999,10,10
1999,11,5
1999,12,5
2000,1,18
2000,2,18
2000,3,4
2000,4,7
2000,5,5
2000,6,7
2000,7,11
2000,8,6
2000,9,6
2000,10,8
2000,11,5
2000,12,9
2001,1,18
2001,2,11
2001,3,12
2001,4,2
2001,5,7
2001,6,7
2001,7,9
2001,8,6
2001,9,8
2001,10,5
2001,11,8
2001,12,10
2002,1,29
2002,2,10
2002,3,9
2002,4,7
2002,5,9
2002,6,8
2002,7,10
2002,8,8
2002,9,7
2002,10,10
2002,11,11
2002,12,12
2003,1,24
2003,2,12
2003,3,18
2003,4,10
2003,5,8
2003,6,5
2003,7,16
2003,8,3
2003,9,13
2003,10,17
2003,11,10
2003,12,12
2004,1,31
2004,2,13
2004,3,7
2004,4,22
2004,5,16
2004,6,20
2004,7,21
2004,8,20
2004,9,15
2004,10,12
2004,11,26
2004,12,17
2005,1,31
2005,2,14
2005,3,20
2005,4,17
2005,5,21
2005,6,21
2005,7,15
2005,8,15
2005,9,16
2005,10,17
2005,11,17
2005,12,17
2006,1,27
2006,2,12
2006,3,21
2006,4,13
2006,5,16
2006,6,14
2006,7,17
2006,8,16
2006,9,29
2006,10,13
2006,11,22
2006,12,16
2007,1,25
2007,2,22
2007,3,24
2007,4,20
2007,5,22
2007,6,23
2007,7,16
2007,8,22
2007,9,16
2007,10,16
2007,11,21
2007,12,22
2008,1,20
2008,2,19
2008,3,18
2008,4,22
2008,5,25
2008,6,15
2008,7,21
2008,8,22
2008,9,18
2008,10,16
2008,11,22
2008,12,21
2009,1,12
2009,2,19
2009,3,20
2009,4,20
2009,5,19
2009,6,15
