Year,Depression
2000,10
2000,13
2000,13
2000,6
2000,10
2000,2
2000,12
2000,2
2000,11
2000,10
2000,14
2000,7
2000,7
2000,14
2000,13
2000,10
2000,1
2000,8
2000,13
2000,9
2000,7
2000,7
2000,6
2000,11
2000,14
2000,9
2000,9
2000,7
2000,6
2000,16
2000,8
2000,1
2000,8
2000,8
2000,6
2000,7
2000,8
2000,10
2000,11
2000,1
2000,9
2000,11
2000,13
2000,11
2000,8
2000,9
2000,18
2000,9
2000,8
2000,21
2000,12
2000,13
2000,5
2000,11
2000,10
2000,7
2000,1
2000,12
2000,12
2000,11
2000,11
2000,7
2000,10
2000,6
2000,12
2000,5
2000,13
2000,14
2000,10
2000,10
2000,6
2000,137
2000,16
2000,6
2000,19
2000,19
2000,7
2000,12
2000,10
2000,1
2000,1
2000,11
2000,9
2000,7
2000,6
2000,6
2000,13
2000,11
2000,6
2000,7
2000,12
2000,12
2000,7
2000,17
2000,8
2000,8
2000,7
2000,9
2000,4
2000,10
2000,11
2000,11
2000,7
2000,12
2000,10
2000,8
2000,8
2000,15
2000,7
2000,13
2000,1
2000,1
2000,4
2000,7
2000,9
2000,12
2000,9
2000,9
2000,7
2000,7
2000,14
2000,8
2000,8
2000,7
2000,6
2000,6
2000,8
2000,5
2000,2
2000,1
2000,1
2000,11
2000,7
2000,10
2000,8
2000,10
2000,14
2000,5
2000,10
2000,1
2000,15
2000,4
2000,2
2000,3
2000,7
2000,13
2000,9
2000,14
2000,16
2000,1
2000,1
2000,9
2000,10
2000,6
2000,2
2000,7
2000,12
2000,10
2000,1
2000,14
2000,12
2000,15
2000,7
2000,8
2000,9
2000,4
2000,9
2000,1
2000,12
2000,10
2000,8
2000,12
2000,7
2000,21
2000,1
2000,15
2000,11
2000,12
2000,13
2000,11
2000,14
2000,13
2000,4
2000,8
2000,1
2000,5
2000,8
2000,3
2000,5
2000,10
2000,4
2000,1
2000,2
2000,6
2000,13
2000,6
2000,16
2000,11
2000,15
2000,5
2000,12
2000,6
2000,9
2000,14
2000,5
2000,8
2000,8
2000,7
2000,10
2000,8
2000,9
2000,4
2000,11
2000,7
2000,3
2000,5
2000,8
2000,9
2000,1
2000,7
2000,12
2000,8
2000,11
2000,6
2000,13
2000,9
2000,13
2000,13
2000,12
2000,6
2000,10
2000,5
2000,8
2000,8
2000,11
2000,2
2000,8
2000,18
2000,10
2000,7
2000,7
2000,14
2000,8
2000,1
2000,11
2000,4
2000,3
2000,8
2000,12
2000,12
2000,10
2000,7
2000,12
2000,1
2000,4
2000,7
2000,9
2000,11
2000,8
2000,7
2000,7
2000,12
2000,8
2000,1
2000,9
2000,11
2000,9
2000,10
2000,6
2000,10
2000,1
2000,1
2000,8
2000,15
2000,8
2000,9
2000,10
2000,8
2000,5
2000,11
2000,2
2000,7
2000,2
2000,15
2000,10
2000,3
2000,5
2000,10
2000,4
2000,1
2001,7
2001,14
2001,12
2001,10
2001,14
2001,7
2001,11
2001,1
2001,1
2001,2
2001,8
2001,10
2001,13
2001,10
2001,19
2001,16
2001,7
2001,1
2001,10
2001,10
2001,11
2001,13
2001,9
2001,10
2001,8
2001,14
2001,19
2001,15
2001,4
2001,10
2001,12
2001,9
2001,12
2001,14
2001,11
2001,7
2001,3
2001,8
2001,21
2001,12
2001,7
2001,9
2001,11
2001,14
2001,7
2001,11
2001,9
2001,6
2001,6
2001,5
2001,12
2001,13
2001,8
2001,13
2001,12
2001,26
2001,12
2001,6
2001,11
2001,17
2001,8
2001,14
2001,10
2001,11
2001,1
2001,11
2001,16
2001,11
2001,6
2001,10
2001,8
2001,13
2001,1
2001,9
2001,5
2001,23
2001,12
2001,7
2001,1
2001,1
2001,12
2001,4
2001,13
2001,21
2001,15
2001,15
2001,10
2001,8
2001,5
2001,13
2001,1
2001,12
2001,11
2001,16
2001,12
2001,7
2001,10
2001,1
2001,9
2001,1
2001,6
2001,10
2001,11
2001,9
2001,10
2001,10
2001,11
2001,13
2001,9
2001,14
2001,1
2001,15
2001,14
2001,14
2001,7
2001,7
2001,2
2001,1
2001,11
2001,11
2001,15
2001,14
2001,15
2001,7
2001,17
2001,12
2001,10
2001,12
2001,14
2001,15
2001,13
2001,25
2001,17
2001,20
2001,16
2001,12
2001,8
2001,7
2001,16
2001,13
2001,11
2001,104
2001,9
2001,7
2001,8
2001,5
2001,10
2001,1
2001,12
2001,16
2001,5
2001,6
2001,9
2001,12
2001,11
2001,15
2001,1
2001,13
2001,20
2001,4
2001,13
2001,10
2001,11
2001,6
2001,12
2001,15
2001,14
2001,10
2001,12
2001,9
2001,22
2001,14
2001,10
2001,11
2001,7
2001,8
2001,11
2001,18
2001,1
2001,19
2001,9
2001,11
2001,8
2001,5
2001,6
2001,9
2001,7
2001,1
2001,16
2001,11
2001,12
2001,16
2001,8
2001,7
2001,13
2001,11
2001,22
2001,1
2001,8
2001,16
2001,9
2001,13
2001,8
2001,13
2001,2
2001,13
2001,5
2001,16
2001,10
2001,11
2001,9
2001,12
2001,9
2001,8
2001,1
2001,11
2001,11
2001,7
2001,15
2001,12
2001,12
2001,10
2001,13
2001,10
2001,9
2001,11
2001,11
2001,12
2001,11
2001,15
2001,10
2001,11
2001,8
2001,7
2001,9
2001,9
2001,11
2001,12
2001,17
2001,1
2001,9
2001,16
2001,11
2001,8
2001,8
2001,8
2001,10
2001,1
2001,17
2001,2
2001,13
2001,13
2001,9
2001,11
2001,13
2001,14
2001,11
2001,7
2001,8
2001,7
2001,7
2001,19
2001,12
2001,16
2001,20
2001,9
2001,17
2001,12
2001,12
2001,11
2001,9
2001,7
2001,7
2001,1
2001,11
2001,12
2001,18
2001,9
2001,17
2001,10
2001,15
2001,1
2001,9
2001,12
2002,5
2002,10
2002,9
2002,17
2002,13
2002,6
2002,24
2002,18
2002,17
2002,11
2002,16
2002,13
2002,21
2002,1
2002,15
2002,11
2002,4
2002,10
2002,11
2002,13
2002,12
2002,11
2002,569
2002,1
2002,22
2002,1
2002,12
2002,10
2002,11
2002,9
2002,10
2002,30
2002,12
2002,20
2002,12
2002,13
2002,25
2002,12
2002,15
2002,7
2002,17
2002,14
2002,10
2002,15
2002,12
2002,13
2002,16
2002,14
2002,12
2002,13
2002,17
2002,11
2002,25
2002,13
2002,8
2002,17
2002,11
2002,16
2002,8
2002,18
2002,9
2002,22
2002,15
2002,15
2002,2
2002,18
2002,10
2002,15
2002,10
2002,13
2002,13
2002,7
2002,1
2002,1
2002,19
2002,10
2002,9
2002,12
2002,7
2002,10
2002,12
2002,10
2002,17
2002,10
2002,15
2002,12
2002,17
2002,9
2002,8
2002,1
2002,2
2002,25
2002,13
2002,9
2002,26
2002,9
2002,8
2002,20
2002,12
2002,13
2002,11
2002,20
2002,14
2002,15
2002,1
2002,20
2002,12
2002,18
2002,12
2002,10
2002,13
2002,12
2002,16
2002,7
2002,8
2002,16
2002,8
2002,10
2002,9
2002,1
2002,7
2002,1
2002,1
2002,11
2002,19
2002,13
2002,19
2002,11
2002,19
2002,18
2002,1
2002,17
2002,15
2002,12
2002,9
2002,11
2002,14
2002,17
2002,3
2002,10
2002,106
2002,16
2002,13
2002,14
2002,15
2002,14
2002,2
2002,16
2002,11
2002,16
2002,10
2002,9
2002,7
2002,24
2002,20
2002,8
2002,1
2002,15
2002,1
2002,14
2002,8
2002,9
2002,13
2002,18
2002,22
2002,1
2002,3
2002,14
2002,17
2002,7
2002,15
2002,12
2002,12
2002,18
2002,19
2002,2
2002,15
2002,13
2002,11
2002,14
2002,22
2002,10
2002,15
2002,14
2002,11
2002,9
2002,13
2002,10
2002,10
2002,20
2002,14
2002,14
2002,11
2002,18
2002,15
2002,22
2002,15
2002,11
2002,17
2002,1
2002,15
2002,12
2002,24
2002,16
2002,18
2002,17
2002,16
2002,11
2002,1
2002,13
2002,2
2002,15
2002,16
2002,13
2002,1
2002,15
2002,1
2002,14
2002,13
2002,11
2002,11
2002,12
2002,11
2002,6
2002,2
2002,25
2002,18
2002,11
2002,14
2002,17
2002,17
2002,6
2002,17
2002,18
2002,9
2002,22
2002,10
2002,13
2002,16
2002,12
2002,2
2002,11
2002,6
2002,20
2002,13
2002,14
2002,16
2002,12
2002,15
2002,19
2002,15
2002,8
2002,9
2002,18
2002,11
2002,10
2002,1
2002,11
2002,12
2002,16
2002,13
2002,9
2002,13
2002,12
2002,15
2002,2
2002,11
2002,13
2002,14
2002,13
2002,8
2002,11
2002,10
2002,14
2002,2
2002,13
2002,9
2002,10
2002,14
2002,18
2002,13
2002,12
2002,11
2002,1
2002,9
2002,13
2003,18
2003,11
2003,13
2003,14
2003,21
2003,3
2003,17
2003,2
2003,17
2003,13
2003,17
2003,16
2003,19
2003,12
2003,1
2003,1
2003,1
2003,22
2003,10
2003,20
2003,11
2003,10
2003,9
2003,18
2003,11
2003,14
2003,17
2003,12
2003,14
2003,15
2003,4
2003,8
2003,10
2003,1
2003,8
2003,1
2003,19
2003,12
2003,20
2003,11
2003,13
2003,9
2003,12
2003,1
2003,13
2003,19
2003,17
2003,21
2003,12
2003,10
2003,25
2003,17
2003,17
2003,1
2003,24
2003,21
2003,6
2003,19
2003,10
2003,23
2003,23
2003,21
2003,13
2003,12
2003,12
2003,12
2003,11
2003,18
2003,12
2003,1
2003,25
2003,19
2003,14
2003,16
2003,7
2003,10
2003,15
2003,15
2003,23
2003,15
2003,12
2003,12
2003,18
2003,15
2003,8
2003,17
2003,16
2003,10
2003,14
2003,10
2003,17
2003,1
2003,13
2003,10
2003,12
2003,18
2003,13
2003,11
2003,16
2003,14
2003,2
2003,15
2003,8
2003,17
2003,14
2003,18
2003,1
2003,13
2003,1
2003,1
2003,13
2003,15
2003,7
2003,23
2003,16
2003,17
2003,20
2003,9
2003,6
2003,1
2003,12
2003,17
2003,14
2003,18
2003,20
2003,11
2003,1
2003,2
2003,19
2003,12
2003,16
2003,17
2003,16
2003,13
2003,13
2003,18
2003,24
2003,19
2003,16
2003,28
2003,16
2003,17
2003,17
2003,1
2003,14
2003,1
2003,16
2003,22
2003,21
2003,20
2003,13
2003,14
2003,11
2003,1
2003,11
2003,18
2003,9
2003,6
2003,12
2003,17
2003,9
2003,18
2003,1
2003,1
2003,17
2003,31
2003,14
2003,9
2003,12
2003,19
2003,12
2003,12
2003,14
2003,19
2003,14
2003,9
2003,15
2003,1
2003,22
2003,11
2003,8
2003,9
2003,21
2003,13
2003,13
2003,10
2003,17
2003,20
2003,12
2003,12
2003,10
2003,16
2003,11
2003,19
2003,1
2003,1
2003,14
2003,15
2003,17
2003,22
2003,25
2003,15
2003,9
2003,1
2003,13
2003,14
2003,19
2003,14
2003,21
2003,18
2003,23
2003,1
2003,19
2003,16
2003,14
2003,16
2003,2
2003,235
2003,10
2003,19
2003,1
2003,20
2003,24
2003,18
2003,13
2003,10
2003,19
2003,1
2003,8
2003,1
2003,12
2003,12
2003,22
2003,25
2003,15
2003,16
2003,11
2003,21
2003,11
2003,14
2003,18
2003,1
2003,1
2003,14
2003,8
2003,16
2003,20
2003,10
2003,15
2003,3
2003,1
2003,15
2003,13
2003,18
2003,16
2003,12
2003,13
2003,18
2003,15
2003,17
2003,19
2003,11
2003,10
2003,19
2003,11
2003,1
2003,19
2003,18
2003,20
2003,7
2003,21
2003,15
2003,19
2003,14
2003,13
2003,1
2003,15
2003,19
2003,21
2003,6
2003,10
2003,8
2003,16
2003,1
2003,19
2003,17
2003,24
2003,11
2003,18
2003,15
2003,14
2003,9
2003,12
2003,18
2004,19
2004,23
2004,20
2004,16
2004,22
2004,2
2004,28
2004,18
2004,12
2004,27
2004,15
2004,11
2004,27
2004,17
2004,1
2004,6
2004,24
2004,9
2004,15
2004,12
2004,13
2004,14
2004,3
2004,4
2004,1
2004,25
2004,21
2004,11
2004,17
2004,22
2004,25
2004,17
2004,11
2004,20
2004,13
2004,20
2004,17
2004,14
2004,22
2004,20
2004,25
2004,19
2004,21
2004,13
2004,24
2004,28
2004,21
2004,21
2004,17
2004,1
2004,25
2004,1
2004,20
2004,17
2004,11
2004,34
2004,18
2004,27
2004,31
2004,17
2004,36
2004,11
2004,19
2004,22
2004,19
2004,21
2004,1
2004,25
2004,14
2004,18
2004,11
2004,15
2004,15
2004,1
2004,23
2004,20
2004,15
2004,16
2004,23
2004,14
2004,1
2004,17
2004,2
2004,1
2004,30
2004,19
2004,16
2004,16
2004,13
2004,19
2004,17
2004,2
2004,26
2004,31
2004,19
2004,24
2004,17
2004,21
2004,23
2004,16
2004,1
2004,1
2004,22
2004,21
2004,23
2004,19
2004,8
2004,15
2004,22
2004,19
2004,17
2004,20
2004,17
2004,16
2004,19
2004,18
2004,19
2004,16
2004,29
2004,14
2004,19
2004,20
2004,9
2004,19
2004,1
2004,20
2004,21
2004,26
2004,28
2004,16
2004,14
2004,22
2004,24
2004,1
2004,31
2004,33
2004,26
2004,24
2004,15
2004,21
2004,17
2004,12
2004,32
2004,19
2004,17
2004,17
2004,18
2004,13
2004,22
2004,10
2004,17
2004,19
2004,14
2004,15
2004,17
2004,16
2004,15
2004,1
2004,15
2004,26
2004,16
2004,10
2004,15
2004,15
2004,13
2004,21
2004,17
2004,24
2004,19
2004,25
2004,15
2004,23
2004,22
2004,15
2004,1
2004,1
2004,19
2004,24
2004,27
2004,13
2004,21
2004,16
2004,22
2004,17
2004,13
2004,5
2004,14
2004,10
2004,24
2004,28
2004,18
2004,21
2004,22
2004,23
2004,13
2004,20
2004,19
2004,23
2004,25
2004,22
2004,26
2004,14
2004,28
2004,2
2004,21
2004,23
2004,16
2004,21
2004,17
2004,19
2004,3
2004,1
2004,38
2004,26
2004,20
2004,19
2004,15
2004,10
2004,7
2004,89
2004,14
2004,1
2004,14
2004,28
2004,19
2004,28
2004,21
2004,21
2004,30
2004,21
2004,14
2004,1
2004,22
2004,21
2004,17
2004,24
2004,15
2004,11
2004,17
2004,3
2004,1
2004,1
2004,30
2004,14
2004,12
2004,23
2004,17
2004,12
2004,13
2004,22
2004,23
2004,16
2004,12
2004,21
2004,14
2004,18
2004,1
2004,17
2004,14
2004,11
2004,27
2004,10
2004,16
2004,19
2004,27
2004,28
2004,23
2004,17
2004,12
2004,24
2004,29
2004,26
2004,1
2004,1
2004,25
2004,15
2004,16
2004,15
2004,15
2004,12
2004,21
2004,23
2004,24
2004,22
2004,33
2004,27
2004,20
2004,15
2005,95
2005,1
2005,1
2005,18
2005,20
2005,19
2005,13
2005,15
2005,21
2005,21
2005,1
2005,21
2005,17
2005,27
2005,21
2005,22
2005,15
2005,18
2005,21
2005,1
2005,22
2005,28
2005,14
2005,27
2005,31
2005,22
2005,27
2005,4
2005,33
2005,34
2005,12
2005,17
2005,22
2005,26
2005,1
2005,24
2005,28
2005,44
2005,32
2005,15
2005,20
2005,17
2005,23
2005,1
2005,27
2005,26
2005,22
2005,16
2005,27
2005,14
2005,19
2005,25
2005,18
2005,26
2005,21
2005,18
2005,13
2005,19
2005,20
2005,1
2005,1
2005,21
2005,36
2005,24
2005,33
2005,23
2005,23
2005,24
2005,32
2005,28
2005,22
2005,23
2005,20
2005,22
2005,1
2005,16
2005,21
2005,26
2005,21
2005,19
2005,24
2005,18
2005,2
2005,1
2005,27
2005,35
2005,22
2005,19
2005,11
2005,18
2005,36
2005,20
2005,26
2005,1
2005,27
2005,27
2005,23
2005,20
2005,25
2005,2
2005,2
2005,38
2005,23
2005,23
2005,26
2005,19
2005,16
2005,13
2005,24
2005,27
2005,19
2005,30
2005,17
2005,18
2005,20
2005,23
2005,2
2005,34
2005,34
2005,29
2005,23
2005,23
2005,27
2005,26
2005,1
2005,29
2005,3
2005,24
2005,26
2005,25
2005,23
2005,18
2005,19
2005,2
2005,25
2005,2
2005,31
2005,36
2005,25
2005,37
2005,18
2005,18
2005,18
2005,19
2005,19
2005,17
2005,20
2005,21
2005,18
2005,16
2005,1
2005,23
2005,17
2005,27
2005,24
2005,21
2005,20
2005,15
2005,21
2005,29
2005,21
2005,21
2005,17
2005,21
2005,23
2005,23
2005,1
2005,1
2005,32
2005,30
2005,23
2005,26
2005,24
2005,12
2005,10
2005,15
2005,10
2005,1
2005,1
2005,31
2005,30
2005,16
2005,19
2005,29
2005,23
2005,1
2005,21
2005,36
2005,26
2005,18
2005,26
2005,14
2005,23
2005,35
2005,29
2005,1
2005,1
2005,23
2005,35
2005,19
2005,32
2005,22
2005,25
2005,18
2005,23
2005,21
2005,24
2005,28
2005,32
2005,19
2005,22
2005,30
2005,31
2005,1
2005,1
2005,28
2005,17
2005,19
2005,18
2005,17
2005,18
2005,29
2005,28
2005,20
2005,17
2005,23
2005,12
2005,17
2005,27
2005,15
2005,21
2005,18
2005,22
2005,12
2005,22
2005,20
2005,18
2005,30
2005,2
2005,37
2005,36
2005,18
2005,18
2005,29
2005,14
2005,36
2005,26
2005,1
2005,21
2005,1
2005,26
2005,31
2005,25
2005,23
2005,16
2005,1
2005,30
2005,23
2005,17
2005,33
2005,18
2005,19
2005,17
2005,19
2005,18
2005,1
2005,24
2005,27
2005,17
2005,31
2005,19
2005,37
2005,4
2005,22
2005,1
2005,33
2005,16
2005,26
2005,21
2005,17
2005,24
2005,25
2005,23
2005,27
2005,2
2005,21
2005,34
2005,31
2005,17
2005,23
2005,27
2005,2
2005,2
2006,1
2006,29
2006,22
2006,23
2006,29
2006,30
2006,28
2006,21
2006,34
2006,20
2006,26
2006,30
2006,17
2006,1
2006,20
2006,27
2006,37
2006,27
2006,34
2006,18
2006,19
2006,22
2006,18
2006,29
2006,28
2006,22
2006,27
2006,22
2006,37
2006,2
2006,16
2006,1
2006,34
2006,2
2006,41
2006,35
2006,43
2006,19
2006,25
2006,23
2006,23
2006,14
2006,1
2006,26
2006,1
2006,19
2006,25
2006,21
2006,40
2006,29
2006,23
2006,33
2006,1
2006,36
2006,40
2006,32
2006,29
2006,23
2006,33
2006,32
2006,32
2006,1
2006,44
2006,30
2006,38
2006,41
2006,32
2006,39
2006,1
2006,1
2006,39
2006,39
