Year,SelfHarm
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,2
2000,1
2000,2
2000,1
2000,1
2000,2
2000,1
2000,19
2000,2
2000,2
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,2
2000,2
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,2
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,2
2000,1
2000,1
2000,1
2000,1
2000,3
2000,1
2000,1
2000,2
2000,1
2000,2
2000,1
2000,1
2000,1
2000,1
2000,2
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,2
2000,1
2000,1
2000,1
2000,2
2000,1
2000,1
2000,1
2000,1
2000,2
2000,1
2000,1
2000,1
2000,2
2000,1
2000,1
2000,1
2000,1
2000,2
2000,1
2000,2
2000,1
2000,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,2
2001,1
2001,1
2001,1
2001,1
2001,2
2001,3
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,3
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,2
2001,2
2001,1
2001,1
2001,1
2001,1
2001,1
2001,2
2001,1
2001,1
2001,1
2001,1
2001,1
2001,2
2001,11
2001,1
2001,1
2001,2
2001,1
2001,2
2001,1
2001,2
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,2
2001,3
2001,1
2001,2
2001,2
2001,1
2001,1
2001,1
2001,2
2001,1
2001,1
2001,1
2001,2
2001,2
2001,1
2001,2
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2002,1
2002,1
2002,2
2002,2
2002,1
2002,3
2002,1
2002,1
2002,1
2002,1
2002,2
2002,2
2002,1
2002,1
2002,2
2002,1
2002,1
2002,2
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,2
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,3
2002,1
2002,2
2002,1
2002,2
2002,1
2002,1
2002,2
2002,1
2002,1
2002,1
2002,1
2002,1
2002,2
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,3
2002,1
2002,2
2002,1
2002,1
2002,21
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,3
2002,1
2002,2
2002,1
2002,2
2002,2
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,2
2002,1
2002,1
2002,1
2002,1
2002,3
2002,1
2002,1
2002,1
2002,1
2002,1
2002,2
2002,1
2002,1
2002,1
2002,1
2002,1
2002,2
2002,1
2002,1
2002,2
2003,1
2003,1
2003,1
2003,1
2003,1
2003,3
2003,1
2003,1
2003,1
2003,2
2003,1
2003,2
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,2
2003,2
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,2
2003,1
2003,1
2003,1
2003,1
2003,1
2003,2
2003,1
2003,1
2003,3
2003,2
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,2
2003,1
2003,3
2003,2
2003,2
2003,1
2003,1
2003,1
2003,1
2003,3
2003,1
2003,1
2003,1
2003,1
2003,2
2003,1
2003,2
2003,1
2003,3
2003,2
2003,1
2003,1
2003,1
2003,1
2003,1
2003,2
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,4
2003,1
2003,1
2003,2
2003,1
2003,1
2003,1
2003,1
2003,20
2003,1
2003,1
2003,2
2003,2
2003,2
2003,6
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,2
2003,1
2003,1
2003,1
2003,4
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,3
2003,1
2003,1
2003,2
2003,2
2004,1
2004,1
2004,1
2004,2
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,2
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,2
2004,1
2004,2
2004,1
2004,2
2004,2
2004,1
2004,1
2004,1
2004,1
2004,3
2004,1
2004,2
2004,1
2004,2
2004,1
2004,3
2004,1
2004,1
2004,2
2004,1
2004,2
2004,1
2004,1
2004,2
2004,1
2004,2
2004,3
2004,1
2004,1
2004,1
2004,1
2004,2
2004,1
2004,2
2004,1
2004,1
2004,1
2004,2
2004,2
2004,2
2004,2
2004,2
2004,1
2004,2
2004,2
2004,1
2004,5
2004,1
2004,1
2004,2
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,2
2004,1
2004,3
2004,1
2004,1
2004,1
2004,1
2004,2
2004,2
2004,3
2004,1
2004,2
2004,2
2004,1
2004,2
2004,1
2004,1
2004,1
2004,1
2004,5
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,4
2004,1
2004,2
2004,2
2004,2
2004,1
2004,4
2004,1
2004,1
2004,3
2004,1
2004,1
2004,2
2004,1
2004,2
2004,1
2004,3
2004,1
2004,1
2004,1
2004,1
2004,2
2004,2
2004,1
2004,1
2004,2
2004,1
2004,2
2004,2
2004,1
2004,1
2004,1
2004,3
2004,1
2004,1
2004,1
2004,2
2004,1
2004,1
2004,3
2004,1
2004,2
2004,1
2004,1
2004,19
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,2
2004,2
2004,1
2004,2
2004,3
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,3
2004,1
2004,1
2004,2
2004,3
2004,1
2004,1
2004,2
2004,2
2004,1
2004,1
2004,1
2004,1
2004,1
2004,2
2004,3
2004,1
2004,2
2004,2
2004,2
2004,1
2005,22
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,2
2005,1
2005,1
2005,2
2005,1
2005,1
2005,1
2005,2
2005,2
2005,1
2005,1
2005,1
2005,1
2005,2
2005,2
2005,2
2005,1
2005,1
2005,2
2005,2
2005,2
2005,1
2005,3
2005,1
2005,1
2005,2
2005,2
2005,1
2005,3
2005,1
2005,1
2005,2
2005,1
2005,1
2005,1
2005,3
2005,1
2005,1
2005,1
2005,1
2005,1
2005,3
2005,1
2005,2
2005,1
2005,1
2005,1
2005,1
2005,6
2005,2
2005,1
2005,1
2005,1
2005,1
2005,2
2005,1
2005,1
2005,1
2005,2
2005,3
2005,1
2005,1
2005,1
2005,1
2005,2
2005,1
2005,1
2005,3
2005,1
2005,1
2005,1
2005,1
2005,2
2005,4
2005,1
2005,2
2005,3
2005,1
2005,2
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,4
2005,2
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,2
2005,2
2005,3
2005,2
2005,1
2005,1
2005,3
2005,1
2005,1
2005,2
2005,3
2005,2
2005,2
2005,2
2005,1
2005,2
2005,2
2005,2
2005,1
2005,1
2005,2
2005,2
2005,1
2005,1
2005,1
2005,1
2005,1
2005,3
2005,2
2005,1
2005,1
2005,1
2005,1
2005,2
2005,2
2005,2
2005,1
2005,1
2005,2
2005,2
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,2
2005,4
2005,1
2005,1
2005,2
2005,1
2005,2
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,3
2005,1
2005,1
2005,1
2005,1
2005,3
2005,2
2005,1
2005,2
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,2
2005,1
2005,1
2005,1
2005,3
2005,1
2005,2
2005,2
2005,2
2005,1
2005,1
2005,1
2005,2
2005,2
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,4
2005,2
2005,3
2005,1
2005,1
2005,1
2005,1
2005,1
2005,3
2005,1
2005,1
2005,1
2005,1
2005,3
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,2
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,2
2006,1
2006,1
2006,2
2006,1
2006,3
2006,2
2006,1
2006,3
2006,2
2006,2
2006,2
2006,3
2006,1
2006,2
2006,1
2006,2
2006,1
2006,2
2006,1
2006,1
2006,1
2006,1
2006,1
2006,2
2006,2
2006,1
2006,1
2006,1
2006,2
2006,2
2006,4
2006,1
2006,2
2006,2
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,3
2006,1
2006,1
2006,1
2006,1
2006,3
2006,1
2006,3
2006,1
2006,2
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,2
2006,1
2006,4
2006,1
2006,2
2006,2
2006,1
2006,2
2006,1
2006,2
2006,1
2006,3
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,3
2006,2
2006,1
2006,16
2006,2
2006,1
2006,1
2006,1
2006,1
2006,2
2006,1
2006,1
2006,1
2006,3
2006,1
2006,1
2006,3
2006,1
2006,1
2006,1
2006,1
2006,2
2006,2
2006,1
2006,2
2006,1
2006,2
2006,1
2006,1
2006,2
2006,3
2006,1
2006,1
2006,1
2006,1
2006,1
2006,6
2006,2
2006,2
2006,2
2006,1
2006,1
2006,2
2006,1
2006,1
2006,1
2006,3
2006,2
2006,1
2006,1
2006,2
2006,1
2006,2
2006,1
2006,1
2006,3
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
