"date"	"inc"
2010-01-01	142
2010-02-01	142
2010-03-01	174
2010-04-01	127
2010-05-01	139
2010-06-01	127
2010-07-01	149
2010-08-01	116
2010-09-01	121
2010-10-01	144
2010-11-01	124
2010-12-01	126
2011-01-01	120
2011-02-01	94
2011-03-01	147
2011-04-01	118
2011-05-01	106
2011-06-01	120
2011-07-01	95
2011-08-01	126
2011-09-01	111
2011-10-01	109
2011-11-01	128
2011-12-01	137
2012-01-01	141
2012-02-01	146
2012-03-01	121
2012-04-01	134
2012-05-01	138
2012-06-01	122
2012-07-01	127
2012-08-01	119
2012-09-01	110
2012-10-01	126
2012-11-01	126
2012-12-01	106
2013-01-01	155
2013-02-01	131
2013-03-01	131
2013-04-01	141
2013-05-01	125
2013-06-01	96
2013-07-01	124
2013-08-01	111
2013-09-01	119
2013-10-01	132
2013-11-01	120
2013-12-01	106
2014-01-01	146
2014-02-01	132
2014-03-01	139
2014-04-01	129
2014-05-01	121
2014-06-01	119
2014-07-01	125
2014-08-01	105
2014-09-01	112
2014-10-01	107
2014-11-01	128
2014-12-01	117
2015-01-01	125
2015-02-01	130
2015-03-01	157
2015-04-01	117
2015-05-01	124
2015-06-01	130
2015-07-01	115
2015-08-01	114
2015-09-01	108
2015-10-01	124
2015-11-01	146
2015-12-01	133
2016-01-01	137
2016-02-01	141
2016-03-01	179
2016-04-01	144
2016-05-01	138
2016-06-01	146
2016-07-01	147
2016-08-01	135
2016-09-01	146
2016-10-01	125
2016-11-01	157
2016-12-01	176
2017-01-01	172
2017-02-01	155
2017-03-01	183
2017-04-01	136
2017-05-01	161
2017-06-01	160
2017-07-01	136
2017-08-01	168
2017-09-01	148
2017-10-01	152
2017-11-01	164
2017-12-01	110
2018-01-01	167
2018-02-01	159
2018-03-01	175
2018-04-01	169
2018-05-01	175
2018-06-01	160
2018-07-01	168
2018-08-01	155
2018-09-01	143
2018-10-01	143
2018-11-01	161
2018-12-01	135
2019-01-01	178
2019-02-01	141
2019-03-01	188
2019-04-01	166
2019-05-01	184
2019-06-01	188
2019-07-01	163
2019-08-01	158
2019-09-01	128
2019-10-01	158
2019-11-01	146
2019-12-01	159
2020-01-01	154
2020-02-01	146
2020-03-01	145
2020-04-01	48
2020-05-01	56
