"date"	"inc"
2010-01-01	71
2010-02-01	77
2010-03-01	77
2010-04-01	60
2010-05-01	59
2010-06-01	67
2010-07-01	91
2010-08-01	71
2010-09-01	66
2010-10-01	73
2010-11-01	96
2010-12-01	71
2011-01-01	66
2011-02-01	79
2011-03-01	91
2011-04-01	75
2011-05-01	72
2011-06-01	84
2011-07-01	71
2011-08-01	65
2011-09-01	76
2011-10-01	75
2011-11-01	82
2011-12-01	78
2012-01-01	83
2012-02-01	72
2012-03-01	102
2012-04-01	74
2012-05-01	74
2012-06-01	89
2012-07-01	69
2012-08-01	54
2012-09-01	68
2012-10-01	74
2012-11-01	80
2012-12-01	62
2013-01-01	92
2013-02-01	95
2013-03-01	88
2013-04-01	94
2013-05-01	84
2013-06-01	56
2013-07-01	82
2013-08-01	80
2013-09-01	100
2013-10-01	109
2013-11-01	80
2013-12-01	65
2014-01-01	89
2014-02-01	107
2014-03-01	94
2014-04-01	75
2014-05-01	106
2014-06-01	72
2014-07-01	74
2014-08-01	80
2014-09-01	103
2014-10-01	87
2014-11-01	86
2014-12-01	92
2015-01-01	74
2015-02-01	78
2015-03-01	86
2015-04-01	88
2015-05-01	86
2015-06-01	78
2015-07-01	81
2015-08-01	74
2015-09-01	75
2015-10-01	79
2015-11-01	81
2015-12-01	63
2016-01-01	77
2016-02-01	94
2016-03-01	97
2016-04-01	77
2016-05-01	89
2016-06-01	75
2016-07-01	90
2016-08-01	84
2016-09-01	89
2016-10-01	81
2016-11-01	105
2016-12-01	96
2017-01-01	90
2017-02-01	95
2017-03-01	102
2017-04-01	76
2017-05-01	80
2017-06-01	105
2017-07-01	108
2017-08-01	105
2017-09-01	93
2017-10-01	85
2017-11-01	102
2017-12-01	72
2018-01-01	107
2018-02-01	98
2018-03-01	82
2018-04-01	110
2018-05-01	116
2018-06-01	78
2018-07-01	96
2018-08-01	104
2018-09-01	99
2018-10-01	108
2018-11-01	78
2018-12-01	73
2019-01-01	121
2019-02-01	93
2019-03-01	100
2019-04-01	88
2019-05-01	109
2019-06-01	99
2019-07-01	89
2019-08-01	100
2019-09-01	87
2019-10-01	88
2019-11-01	96
2019-12-01	95
2020-01-01	100
2020-02-01	79
2020-03-01	101
2020-04-01	54
2020-05-01	55
2020-06-01	72
2020-07-01	67
2020-08-01	68
