"date"	"inc"
2010-01-01	95
2010-02-01	108
2010-03-01	137
2010-04-01	119
2010-05-01	96
2010-06-01	94
2010-07-01	107
2010-08-01	89
2010-09-01	97
2010-10-01	103
2010-11-01	130
2010-12-01	90
2011-01-01	103
2011-02-01	92
2011-03-01	135
2011-04-01	87
2011-05-01	89
2011-06-01	100
2011-07-01	86
2011-08-01	89
2011-09-01	93
2011-10-01	108
2011-11-01	127
2011-12-01	105
2012-01-01	121
2012-02-01	141
2012-03-01	120
2012-04-01	118
2012-05-01	116
2012-06-01	92
2012-07-01	115
2012-08-01	101
2012-09-01	87
2012-10-01	139
2012-11-01	144
2012-12-01	91
2013-01-01	123
2013-02-01	110
2013-03-01	152
2013-04-01	116
2013-05-01	107
2013-06-01	86
2013-07-01	109
2013-08-01	97
2013-09-01	99
2013-10-01	105
2013-11-01	133
2013-12-01	112
2014-01-01	139
2014-02-01	133
2014-03-01	134
2014-04-01	97
2014-05-01	115
2014-06-01	102
2014-07-01	113
2014-08-01	82
2014-09-01	102
2014-10-01	117
2014-11-01	118
2014-12-01	127
2015-01-01	112
2015-02-01	131
2015-03-01	169
2015-04-01	109
2015-05-01	101
2015-06-01	112
2015-07-01	108
2015-08-01	113
2015-09-01	125
2015-10-01	120
2015-11-01	128
2015-12-01	122
2016-01-01	146
2016-02-01	152
2016-03-01	172
2016-04-01	156
2016-05-01	137
2016-06-01	103
2016-07-01	131
2016-08-01	100
2016-09-01	149
2016-10-01	140
2016-11-01	163
2016-12-01	140
2017-01-01	150
2017-02-01	182
2017-03-01	198
2017-04-01	141
2017-05-01	145
2017-06-01	120
2017-07-01	140
2017-08-01	155
2017-09-01	158
2017-10-01	159
2017-11-01	161
2017-12-01	144
2018-01-01	179
2018-02-01	167
2018-03-01	190
2018-04-01	160
2018-05-01	136
2018-06-01	152
2018-07-01	111
2018-08-01	112
2018-09-01	137
2018-10-01	176
2018-11-01	153
2018-12-01	178
2019-01-01	179
2019-02-01	190
2019-03-01	193
2019-04-01	179
2019-05-01	199
2019-06-01	143
2019-07-01	149
2019-08-01	127
2019-09-01	137
2019-10-01	193
2019-11-01	173
2019-12-01	168
2020-01-01	180
2020-02-01	179
2020-03-01	197
2020-04-01	87
2020-05-01	75
