Date,IncidenceOfClopidogrel,PrevalenceOfClopidogrel
2015-01-01,0,20
2015-01-02,2,72
2015-01-03,0,2
2015-01-04,0,0
2015-01-05,3,124
2015-01-06,2,112
2015-01-07,2,74
2015-01-08,4,65
2015-01-09,1,76
2015-01-10,0,0
2015-01-11,0,0
2015-01-12,3,107
2015-01-13,1,102
2015-01-14,3,78
2015-01-15,3,73
2015-01-16,1,89
2015-01-17,0,2
2015-01-18,0,1
2015-01-19,2,122
2015-01-20,5,108
2015-01-21,2,85
2015-01-22,3,72
2015-01-23,2,77
2015-01-24,0,0
2015-01-25,0,0
2015-01-26,2,107
2015-01-27,3,94
2015-01-28,5,86
2015-01-29,5,66
2015-01-30,0,78
2015-01-31,0,0
2015-02-01,0,0
2015-02-02,5,130
2015-02-03,3,86
2015-02-04,2,80
2015-02-05,1,77
2015-02-06,4,87
2015-02-07,0,1
2015-02-08,0,0
2015-02-09,4,110
2015-02-10,4,89
2015-02-11,0,91
2015-02-12,3,83
2015-02-13,5,84
2015-02-14,0,1
2015-02-15,0,0
2015-02-16,1,133
2015-02-17,0,103
2015-02-18,3,79
2015-02-19,6,99
2015-02-20,1,78
2015-02-21,0,2
2015-02-22,0,0
2015-02-23,2,111
2015-02-24,2,87
2015-02-25,3,81
2015-02-26,1,68
2015-02-27,2,77
2015-02-28,1,2
2015-03-01,0,0
2015-03-02,1,127
2015-03-03,3,89
2015-03-04,1,84
2015-03-05,0,78
2015-03-06,1,83
2015-03-07,0,1
2015-03-08,0,0
2015-03-09,3,116
2015-03-10,0,92
2015-03-11,2,86
2015-03-12,3,88
2015-03-13,2,74
2015-03-14,0,3
2015-03-15,0,1
2015-03-16,3,135
2015-03-17,1,104
2015-03-18,2,89
2015-03-19,3,87
2015-03-20,5,86
2015-03-21,0,1
2015-03-22,0,0
2015-03-23,4,118
2015-03-24,2,113
2015-03-25,5,96
2015-03-26,7,83
2015-03-27,2,67
2015-03-28,0,2
2015-03-29,0,0
2015-03-30,6,127
2015-03-31,3,109
2015-04-01,4,77
2015-04-02,4,97
2015-04-03,0,25
2015-04-04,0,1
2015-04-05,0,0
2015-04-06,0,39
2015-04-07,2,135
2015-04-08,2,121
2015-04-09,0,99
2015-04-10,1,75
2015-04-11,0,3
2015-04-12,0,0
2015-04-13,4,121
2015-04-14,5,126
2015-04-15,2,97
2015-04-16,1,78
