"date"	"inc"
2010-01-01	45
2010-02-01	46
2010-03-01	66
2010-04-01	51
2010-05-01	39
2010-06-01	57
2010-07-01	61
2010-08-01	38
2010-09-01	39
2010-10-01	50
2010-11-01	45
2010-12-01	45
2011-01-01	54
2011-02-01	53
2011-03-01	56
2011-04-01	38
2011-05-01	54
2011-06-01	44
2011-07-01	38
2011-08-01	43
2011-09-01	45
2011-10-01	53
2011-11-01	39
2011-12-01	35
2012-01-01	48
2012-02-01	52
2012-03-01	63
2012-04-01	43
2012-05-01	63
2012-06-01	46
2012-07-01	61
2012-08-01	52
2012-09-01	43
2012-10-01	44
2012-11-01	63
2012-12-01	51
2013-01-01	68
2013-02-01	54
2013-03-01	56
2013-04-01	83
2013-05-01	55
2013-06-01	55
2013-07-01	59
2013-08-01	56
2013-09-01	55
2013-10-01	68
2013-11-01	63
2013-12-01	67
2014-01-01	59
2014-02-01	67
2014-03-01	56
2014-04-01	61
2014-05-01	69
2014-06-01	62
2014-07-01	71
2014-08-01	35
2014-09-01	58
2014-10-01	52
2014-11-01	67
2014-12-01	64
2015-01-01	82
2015-02-01	55
2015-03-01	95
2015-04-01	86
2015-05-01	53
2015-06-01	74
2015-07-01	77
2015-08-01	66
2015-09-01	73
2015-10-01	64
2015-11-01	88
2015-12-01	92
2016-01-01	79
2016-02-01	83
2016-03-01	100
2016-04-01	88
2016-05-01	95
2016-06-01	71
2016-07-01	87
2016-08-01	91
2016-09-01	82
2016-10-01	88
2016-11-01	79
2016-12-01	108
2017-01-01	101
2017-02-01	91
2017-03-01	96
2017-04-01	63
2017-05-01	77
2017-06-01	78
2017-07-01	77
2017-08-01	78
2017-09-01	64
2017-10-01	83
2017-11-01	84
2017-12-01	62
2018-01-01	75
2018-02-01	92
2018-03-01	109
2018-04-01	93
2018-05-01	102
2018-06-01	94
2018-07-01	95
2018-08-01	78
2018-09-01	74
2018-10-01	82
2018-11-01	82
2018-12-01	93
2019-01-01	100
2019-02-01	95
2019-03-01	99
2019-04-01	95
2019-05-01	95
2019-06-01	108
2019-07-01	97
2019-08-01	76
2019-09-01	90
2019-10-01	84
2019-11-01	88
2019-12-01	79
2020-01-01	99
2020-02-01	104
2020-03-01	118
2020-04-01	62
2020-05-01	43
2020-06-01	52
2020-07-01	59
2020-08-01	83
