"date"	"inc"
2010-01-01	130
2010-02-01	109
2010-03-01	152
2010-04-01	148
2010-05-01	116
2010-06-01	149
2010-07-01	121
2010-08-01	129
2010-09-01	137
2010-10-01	136
2010-11-01	150
2010-12-01	77
2011-01-01	129
2011-02-01	120
2011-03-01	145
2011-04-01	126
2011-05-01	116
2011-06-01	147
2011-07-01	117
2011-08-01	140
2011-09-01	153
2011-10-01	134
2011-11-01	162
2011-12-01	118
2012-01-01	144
2012-02-01	126
2012-03-01	138
2012-04-01	118
2012-05-01	160
2012-06-01	123
2012-07-01	118
2012-08-01	131
2012-09-01	145
2012-10-01	147
2012-11-01	140
2012-12-01	105
2013-01-01	164
2013-02-01	145
2013-03-01	141
2013-04-01	132
2013-05-01	141
2013-06-01	125
2013-07-01	143
2013-08-01	139
2013-09-01	134
2013-10-01	146
2013-11-01	151
2013-12-01	136
2014-01-01	153
2014-02-01	124
2014-03-01	165
2014-04-01	159
2014-05-01	144
2014-06-01	118
2014-07-01	144
2014-08-01	132
2014-09-01	170
2014-10-01	168
2014-11-01	193
2014-12-01	154
2015-01-01	163
2015-02-01	189
2015-03-01	195
2015-04-01	159
2015-05-01	152
2015-06-01	165
2015-07-01	160
2015-08-01	132
2015-09-01	182
2015-10-01	198
2015-11-01	180
2015-12-01	156
2016-01-01	182
2016-02-01	174
2016-03-01	167
2016-04-01	139
2016-05-01	168
2016-06-01	164
2016-07-01	159
2016-08-01	169
2016-09-01	178
2016-10-01	157
2016-11-01	174
2016-12-01	225
2017-01-01	209
2017-02-01	196
2017-03-01	212
2017-04-01	168
2017-05-01	201
2017-06-01	220
2017-07-01	209
2017-08-01	186
2017-09-01	203
2017-10-01	249
2017-11-01	206
2017-12-01	168
2018-01-01	222
2018-02-01	194
2018-03-01	190
2018-04-01	188
2018-05-01	240
2018-06-01	221
2018-07-01	228
2018-08-01	235
2018-09-01	209
2018-10-01	254
2018-11-01	276
2018-12-01	216
2019-01-01	253
2019-02-01	241
2019-03-01	256
2019-04-01	222
2019-05-01	241
2019-06-01	235
2019-07-01	257
2019-08-01	196
2019-09-01	273
2019-10-01	279
2019-11-01	273
2019-12-01	207
2020-01-01	247
2020-02-01	234
2020-03-01	212
2020-04-01	114
2020-05-01	123
