Date,IncidenceOfStatin,PrevalenceOfStatin
2009-12-28,0,0
2009-12-29,10,624
2009-12-30,9,451
2009-12-31,4,323
2010-01-01,0,49
2010-01-02,0,6
2010-01-03,0,0
2010-01-04,10,790
2010-01-05,5,424
2010-01-06,1,475
2010-01-07,8,582
2010-01-08,3,494
2010-01-09,0,6
2010-01-10,0,2
2010-01-11,6,871
2010-01-12,10,662
2010-01-13,3,554
2010-01-14,12,467
2010-01-15,12,404
2010-01-16,0,7
2010-01-17,0,0
2010-01-18,5,760
2010-01-19,9,542
2010-01-20,14,507
2010-01-21,5,431
2010-01-22,7,441
2010-01-23,0,9
2010-01-24,0,2
2010-01-25,11,640
2010-01-26,10,539
2010-01-27,8,450
2010-01-28,8,429
2010-01-29,4,394
2010-01-30,0,14
2010-01-31,0,0
2010-02-01,10,710
2010-02-02,11,584
2010-02-03,10,518
2010-02-04,10,469
2010-02-05,7,450
2010-02-06,0,6
2010-02-07,0,2
2010-02-08,13,696
2010-02-09,12,585
2010-02-10,5,483
2010-02-11,10,461
2010-02-12,10,413
2010-02-13,0,16
2010-02-14,0,0
2010-02-15,15,745
2010-02-16,11,576
2010-02-17,8,479
2010-02-18,14,439
2010-02-19,10,395
2010-02-20,0,8
2010-02-21,0,1
2010-02-22,9,697
2010-02-23,10,583
2010-02-24,4,464
2010-02-25,14,470
2010-02-26,7,439
2010-02-27,0,12
2010-02-28,0,2
2010-03-01,10,761
2010-03-02,7,611
2010-03-03,12,488
2010-03-04,8,497
2010-03-05,9,450
2010-03-06,0,6
2010-03-07,0,1
2010-03-08,18,717
2010-03-09,10,655
2010-03-10,8,479
2010-03-11,8,421
2010-03-12,9,446
2010-03-13,0,10
2010-03-14,0,2
2010-03-15,10,735
2010-03-16,5,606
2010-03-17,8,495
2010-03-18,6,493
2010-03-19,3,410
2010-03-20,1,9
2010-03-21,0,2
2010-03-22,11,697
2010-03-23,9,563
2010-03-24,5,559
2010-03-25,13,486
2010-03-26,9,471
2010-03-27,1,15
2010-03-28,0,2
2010-03-29,11,837
2010-03-30,7,662
2010-03-31,9,528
2010-04-01,7,478
2010-04-02,0,76
2010-04-03,0,6
2010-04-04,0,3
2010-04-05,0,78
2010-04-06,13,915
2010-04-07,10,727
2010-04-08,5,541
2010-04-09,4,420
2010-04-10,0,18
2010-04-11,0,3
2010-04-12,15,733
2010-04-13,6,648
2010-04-14,12,525
2010-04-15,10,411
2010-04-16,9,459
2010-04-17,0,6
2010-04-18,0,2
2010-04-19,8,710
2010-04-20,5,593
2010-04-21,5,531
2010-04-22,3,476
2010-04-23,7,463
2010-04-24,0,6
2010-04-25,0,3
2010-04-26,8,736
2010-04-27,2,631
2010-04-28,6,578
2010-04-29,6,463
2010-04-30,8,482
2010-05-01,0,6
2010-05-02,0,3
2010-05-03,0,73
2010-05-04,5,969
2010-05-05,12,618
2010-05-06,9,510
2010-05-07,12,441
2010-05-08,0,10
2010-05-09,0,2
2010-05-10,12,734
2010-05-11,6,646
2010-05-12,14,512
2010-05-13,4,456
2010-05-14,16,409
2010-05-15,0,9
2010-05-16,0,1
2010-05-17,6,764
2010-05-18,7,604
2010-05-19,4,524
2010-05-20,4,473
2010-05-21,8,472
2010-05-22,0,7
2010-05-23,0,1
2010-05-24,6,706
2010-05-25,5,649
2010-05-26,8,529
2010-05-27,5,502
2010-05-28,5,445
2010-05-29,0,6
2010-05-30,0,2
2010-05-31,0,81
2010-06-01,11,830
2010-06-02,5,650
2010-06-03,10,522
2010-06-04,2,464
2010-06-05,0,12
2010-06-06,0,2
2010-06-07,9,708
2010-06-08,8,655
2010-06-09,7,511
2010-06-10,9,493
2010-06-11,10,427
2010-06-12,0,6
2010-06-13,0,2
2010-06-14,6,715
2010-06-15,13,635
2010-06-16,3,482
2010-06-17,4,431
2010-06-18,5,395
2010-06-19,0,9
2010-06-20,0,1
2010-06-21,8,740
2010-06-22,9,571
2010-06-23,6,530
2010-06-24,11,417
2010-06-25,7,465
2010-06-26,0,11
2010-06-27,0,4
2010-06-28,7,709
2010-06-29,10,657
2010-06-30,9,564
2010-07-01,11,499
2010-07-02,11,450
2010-07-03,0,7
2010-07-04,0,2
2010-07-05,6,724
2010-07-06,15,623
2010-07-07,9,499
2010-07-08,5,432
2010-07-09,6,439
2010-07-10,0,13
2010-07-11,0,2
2010-07-12,10,784
2010-07-13,5,572
2010-07-14,8,496
2010-07-15,5,448
2010-07-16,5,476
2010-07-17,1,8
2010-07-18,0,3
2010-07-19,15,735
2010-07-20,13,597
2010-07-21,3,487
2010-07-22,4,467
2010-07-23,18,473
2010-07-24,0,11
2010-07-25,0,4
2010-07-26,12,785
2010-07-27,11,602
2010-07-28,7,576
2010-07-29,11,475
2010-07-30,8,442
2010-07-31,0,8
2010-08-01,0,2
2010-08-02,11,731
2010-08-03,7,591
2010-08-04,7,543
2010-08-05,7,482
2010-08-06,13,460
2010-08-07,0,12
2010-08-08,1,4
2010-08-09,8,739
2010-08-10,4,562
2010-08-11,8,520
2010-08-12,6,449
2010-08-13,2,483
2010-08-14,0,8
2010-08-15,0,1
2010-08-16,16,682
2010-08-17,8,622
2010-08-18,5,593
2010-08-19,3,451
2010-08-20,6,462
2010-08-21,0,6
2010-08-22,0,4
2010-08-23,8,774
2010-08-24,9,611
2010-08-25,14,629
2010-08-26,5,504
2010-08-27,9,500
2010-08-28,0,3
2010-08-29,0,2
2010-08-30,0,88
2010-08-31,3,908
2010-09-01,6,659
2010-09-02,8,490
2010-09-03,7,501
2010-09-04,1,12
2010-09-05,0,2
2010-09-06,6,717
2010-09-07,9,654
2010-09-08,5,499
2010-09-09,5,435
2010-09-10,7,448
2010-09-11,0,3
2010-09-12,0,3
2010-09-13,6,702
2010-09-14,7,637
2010-09-15,6,504
2010-09-16,8,475
2010-09-17,9,493
2010-09-18,0,10
2010-09-19,0,9
2010-09-20,7,755
2010-09-21,7,592
2010-09-22,9,512
2010-09-23,2,531
2010-09-24,9,470
2010-09-25,0,8
2010-09-26,0,8
2010-09-27,10,730
2010-09-28,10,671
2010-09-29,6,485
2010-09-30,8,451
2010-10-01,8,444
2010-10-02,0,15
2010-10-03,0,2
2010-10-04,7,737
2010-10-05,3,601
2010-10-06,8,504
2010-10-07,6,525
2010-10-08,2,445
2010-10-09,0,3
2010-10-10,1,13
2010-10-11,11,740
2010-10-12,6,579
2010-10-13,3,528
2010-10-14,10,533
2010-10-15,9,485
2010-10-16,0,5
2010-10-17,0,5
2010-10-18,13,692
2010-10-19,9,631
2010-10-20,6,525
2010-10-21,5,544
2010-10-22,8,474
2010-10-23,0,5
2010-10-24,0,22
2010-10-25,3,765
2010-10-26,8,624
2010-10-27,7,517
2010-10-28,9,478
2010-10-29,5,463
2010-10-30,0,11
2010-10-31,0,9
2010-11-01,4,718
2010-11-02,6,607
2010-11-03,5,526
2010-11-04,4,483
2010-11-05,7,450
2010-11-06,0,3
2010-11-07,0,15
2010-11-08,8,739
2010-11-09,8,636
2010-11-10,5,517
2010-11-11,2,461
2010-11-12,7,457
2010-11-13,0,7
2010-11-14,0,17
2010-11-15,7,766
2010-11-16,4,646
2010-11-17,5,507
2010-11-18,6,458
2010-11-19,5,478
2010-11-20,0,10
2010-11-21,0,23
2010-11-22,8,780
2010-11-23,8,622
2010-11-24,6,551
2010-11-25,8,453
2010-11-26,9,493
2010-11-27,0,10
2010-11-28,0,13
2010-11-29,11,848
2010-11-30,9,553
2010-12-01,8,545
2010-12-02,2,461
2010-12-03,4,519
2010-12-04,0,11
2010-12-05,0,19
2010-12-06,5,832
2010-12-07,5,785
2010-12-08,6,573
2010-12-09,9,602
2010-12-10,5,477
2010-12-11,0,8
2010-12-12,0,13
2010-12-13,11,921
2010-12-14,5,780
2010-12-15,9,671
2010-12-16,8,656
2010-12-17,7,676
2010-12-18,0,7
2010-12-19,0,6
2010-12-20,13,1027
2010-12-21,8,704
2010-12-22,5,547
2010-12-23,7,335
2010-12-24,3,244
2010-12-25,0,0
2010-12-26,0,3
2010-12-27,0,80
2010-12-28,0,98
2010-12-29,4,658
2010-12-30,5,466
2010-12-31,3,357
2011-01-01,0,2
2011-01-02,0,6
2011-01-03,0,68
2011-01-04,6,861
2011-01-05,6,669
2011-01-06,10,680
2011-01-07,11,507
2011-01-08,0,11
2011-01-09,0,4
2011-01-10,6,764
2011-01-11,6,723
2011-01-12,3,612
2011-01-13,6,493
2011-01-14,6,515
2011-01-15,2,31
2011-01-16,0,11
2011-01-17,12,726
2011-01-18,5,639
2011-01-19,8,574
2011-01-20,7,459
2011-01-21,8,409
2011-01-22,0,22
2011-01-23,0,3
2011-01-24,12,728
2011-01-25,11,589
2011-01-26,6,554
2011-01-27,4,465
2011-01-28,7,436
2011-01-29,0,7
2011-01-30,0,11
2011-01-31,6,751
2011-02-01,9,622
2011-02-02,8,603
2011-02-03,3,512
2011-02-04,14,497
2011-02-05,0,11
2011-02-06,0,2
2011-02-07,9,797
2011-02-08,7,655
2011-02-09,5,608
2011-02-10,11,471
2011-02-11,10,483
2011-02-12,1,12
2011-02-13,0,2
2011-02-14,7,754
2011-02-15,6,584
2011-02-16,2,542
2011-02-17,4,474
2011-02-18,5,482
2011-02-19,0,12
2011-02-20,0,3
2011-02-21,8,806
2011-02-22,1,583
2011-02-23,8,535
2011-02-24,5,467
2011-02-25,8,473
2011-02-26,0,1
2011-02-27,0,1
2011-02-28,4,740
2011-03-01,8,608
2011-03-02,8,575
2011-03-03,4,540
2011-03-04,7,445
2011-03-05,0,10
2011-03-06,11,12
2011-03-07,4,829
2011-03-08,8,653
2011-03-09,6,596
2011-03-10,6,461
2011-03-11,2,478
2011-03-12,0,4
2011-03-13,0,0
2011-03-14,10,755
2011-03-15,2,673
2011-03-16,7,552
2011-03-17,6,437
2011-03-18,6,480
2011-03-19,0,0
2011-03-20,0,1
2011-03-21,10,757
2011-03-22,7,612
2011-03-23,6,557
2011-03-24,7,490
2011-03-25,4,436
2011-03-26,0,4
2011-03-27,0,0
2011-03-28,10,765
2011-03-29,11,731
2011-03-30,6,547
2011-03-31,7,498
2011-04-01,11,478
2011-04-02,0,21
2011-04-03,0,1
2011-04-04,6,764
2011-04-05,6,653
2011-04-06,6,574
2011-04-07,7,517
2011-04-08,13,486
2011-04-09,0,5
2011-04-10,0,3
2011-04-11,8,823
2011-04-12,11,607
2011-04-13,6,592
2011-04-14,10,487
2011-04-15,5,527
2011-04-16,0,21
2011-04-17,0,3
2011-04-18,8,810
2011-04-19,8,807
2011-04-20,6,602
2011-04-21,8,567
2011-04-22,0,77
2011-04-23,0,2
2011-04-24,0,2
2011-04-25,0,96
2011-04-26,12,1148
2011-04-27,9,797
2011-04-28,5,703
2011-04-29,0,60
2011-04-30,0,3
2011-05-01,0,3
2011-05-02,0,67
2011-05-03,5,1106
2011-05-04,7,782
2011-05-05,6,659
2011-05-06,5,464
2011-05-07,0,14
2011-05-08,0,4
2011-05-09,4,824
2011-05-10,5,701
2011-05-11,7,622
2011-05-12,8,471
2011-05-13,7,448
2011-05-14,0,1
2011-05-15,0,4
2011-05-16,9,734
2011-05-17,14,617
2011-05-18,4,608
2011-05-19,5,491
2011-05-20,6,426
2011-05-21,0,4
2011-05-22,0,4
2011-05-23,3,832
2011-05-24,2,684
2011-05-25,7,613
2011-05-26,9,497
2011-05-27,7,484
2011-05-28,0,33
2011-05-29,0,2
2011-05-30,0,92
2011-05-31,15,948
2011-06-01,10,703
2011-06-02,8,618
2011-06-03,8,513
2011-06-04,0,26
2011-06-05,0,3
2011-06-06,3,777
2011-06-07,8,720
2011-06-08,10,567
2011-06-09,5,500
2011-06-10,7,444
2011-06-11,0,14
2011-06-12,0,4
2011-06-13,9,760
2011-06-14,5,714
2011-06-15,3,568
2011-06-16,8,469
2011-06-17,3,448
2011-06-18,0,12
2011-06-19,0,2
2011-06-20,10,801
2011-06-21,10,656
2011-06-22,4,507
2011-06-23,11,535
2011-06-24,4,429
2011-06-25,1,12
2011-06-26,0,4
2011-06-27,9,811
2011-06-28,1,656
2011-06-29,3,574
2011-06-30,5,485
2011-07-01,8,498
2011-07-02,0,8
2011-07-03,0,3
2011-07-04,4,785
2011-07-05,4,753
2011-07-06,5,553
2011-07-07,5,509
2011-07-08,1,437
2011-07-09,0,12
2011-07-10,0,4
2011-07-11,5,837
2011-07-12,5,636
2011-07-13,1,496
2011-07-14,6,513
2011-07-15,8,466
2011-07-16,0,1
2011-07-17,0,2
2011-07-18,7,824
2011-07-19,5,679
2011-07-20,5,570
2011-07-21,9,524
2011-07-22,10,547
2011-07-23,0,8
2011-07-24,0,4
2011-07-25,11,839
2011-07-26,8,617
2011-07-27,11,547
2011-07-28,5,500
2011-07-29,6,477
2011-07-30,0,15
2011-07-31,0,2
2011-08-01,8,880
2011-08-02,9,697
2011-08-03,7,537
2011-08-04,4,496
2011-08-05,7,433
2011-08-06,0,5
2011-08-07,0,3
2011-08-08,10,864
2011-08-09,4,585
2011-08-10,6,525
2011-08-11,8,516
2011-08-12,5,436
2011-08-13,0,14
2011-08-14,0,4
2011-08-15,7,841
2011-08-16,10,660
2011-08-17,8,577
2011-08-18,3,502
2011-08-19,5,477
2011-08-20,0,13
2011-08-21,0,3
2011-08-22,10,860
2011-08-23,3,680
2011-08-24,2,622
2011-08-25,12,553
2011-08-26,8,557
2011-08-27,0,27
2011-08-28,0,1
2011-08-29,0,99
2011-08-30,5,958
2011-08-31,3,674
2011-09-01,5,613
2011-09-02,7,484
2011-09-03,0,25
2011-09-04,0,2
2011-09-05,11,799
2011-09-06,8,682
2011-09-07,15,641
2011-09-08,3,513
2011-09-09,2,466
2011-09-10,0,20
2011-09-11,0,5
2011-09-12,6,773
2011-09-13,2,705
2011-09-14,13,543
2011-09-15,11,551
2011-09-16,5,461
2011-09-17,0,9
2011-09-18,0,2
2011-09-19,3,828
2011-09-20,8,632
2011-09-21,6,609
2011-09-22,7,538
2011-09-23,8,475
2011-09-24,0,11
2011-09-25,0,0
2011-09-26,2,785
2011-09-27,13,687
2011-09-28,7,588
2011-09-29,6,451
2011-09-30,5,501
2011-10-01,0,8
2011-10-02,0,1
2011-10-03,7,855
2011-10-04,11,708
2011-10-05,9,570
2011-10-06,8,500
2011-10-07,11,479
2011-10-08,0,5
2011-10-09,0,0
2011-10-10,7,792
2011-10-11,5,654
2011-10-12,7,576
2011-10-13,12,574
2011-10-14,13,501
2011-10-15,0,15
2011-10-16,0,4
2011-10-17,13,932
2011-10-18,6,679
2011-10-19,8,495
2011-10-20,2,533
2011-10-21,3,497
2011-10-22,1,20
2011-10-23,0,0
2011-10-24,10,868
2011-10-25,6,676
2011-10-26,4,558
2011-10-27,6,531
2011-10-28,7,511
2011-10-29,0,8
2011-10-30,0,2
2011-10-31,8,878
2011-11-01,4,664
2011-11-02,7,602
2011-11-03,9,518
2011-11-04,3,504
2011-11-05,1,19
2011-11-06,0,1
2011-11-07,18,839
2011-11-08,11,677
2011-11-09,9,546
2011-11-10,12,528
2011-11-11,9,545
2011-11-12,0,6
2011-11-13,0,1
2011-11-14,8,871
2011-11-15,6,688
2011-11-16,3,601
2011-11-17,8,567
2011-11-18,8,500
2011-11-19,0,15
2011-11-20,0,1
2011-11-21,10,818
2011-11-22,9,713
2011-11-23,6,604
2011-11-24,9,457
2011-11-25,4,538
2011-11-26,0,21
2011-11-27,0,3
2011-11-28,9,840
2011-11-29,7,726
2011-11-30,3,592
2011-12-01,7,525
2011-12-02,9,518
2011-12-03,0,14
2011-12-04,0,0
2011-12-05,7,903
2011-12-06,5,781
2011-12-07,7,659
2011-12-08,11,587
