Date,IncidenceOfCardiovascular,PrevalenceOfCardiovascular
2015-01-01,42,113
2015-01-02,7,58
2015-01-03,2,3
2015-01-04,1,5
2015-01-05,11,59
2015-01-06,13,76
2015-01-07,5,46
2015-01-08,11,63
2015-01-09,9,38
2015-01-10,2,4
2015-01-11,1,2
2015-01-12,6,79
2015-01-13,8,75
2015-01-14,4,51
2015-01-15,4,61
2015-01-16,10,46
2015-01-17,1,1
2015-01-18,2,2
2015-01-19,5,64
2015-01-20,10,58
2015-01-21,6,36
2015-01-22,13,51
2015-01-23,12,50
2015-01-24,4,7
2015-01-25,2,4
2015-01-26,14,80
2015-01-27,18,74
2015-01-28,11,49
2015-01-29,8,48
2015-01-30,13,57
2015-01-31,2,4
2015-02-01,5,11
2015-02-02,7,77
2015-02-03,5,61
2015-02-04,18,70
2015-02-05,9,44
2015-02-06,10,57
2015-02-07,2,9
2015-02-08,2,5
2015-02-09,7,63
2015-02-10,6,69
2015-02-11,10,73
2015-02-12,11,65
2015-02-13,7,41
2015-02-14,0,2
2015-02-15,0,1
2015-02-16,7,67
2015-02-17,13,83
2015-02-18,9,52
2015-02-19,8,68
2015-02-20,9,62
2015-02-21,0,0
2015-02-22,0,2
2015-02-23,11,66
2015-02-24,21,95
2015-02-25,10,50
2015-02-26,12,73
2015-02-27,6,51
2015-02-28,0,3
2015-03-01,6,10
2015-03-02,7,79
2015-03-03,7,61
2015-03-04,5,34
2015-03-05,12,60
2015-03-06,8,45
2015-03-07,2,4
2015-03-08,0,0
2015-03-09,5,80
2015-03-10,9,81
2015-03-11,11,49
2015-03-12,8,47
2015-03-13,12,46
2015-03-14,0,3
2015-03-15,1,2
2015-03-16,8,89
2015-03-17,9,75
2015-03-18,7,67
2015-03-19,12,75
2015-03-20,5,56
2015-03-21,0,1
2015-03-22,2,5
2015-03-23,12,102
2015-03-24,12,63
2015-03-25,13,57
2015-03-26,12,74
2015-03-27,10,55
2015-03-28,3,4
2015-03-29,2,3
2015-03-30,17,73
2015-03-31,10,86
2015-04-01,15,76
2015-04-02,7,53
2015-04-03,1,2
2015-04-04,1,5
2015-04-05,2,2
2015-04-06,2,7
2015-04-07,13,76
2015-04-08,5,76
2015-04-09,8,64
2015-04-10,7,44
2015-04-11,1,8
2015-04-12,2,3
2015-04-13,6,81
2015-04-14,14,76
2015-04-15,7,65
2015-04-16,3,51
2015-04-17,11,56
2015-04-18,0,1
2015-04-19,1,4
2015-04-20,17,95
2015-04-21,14,64
2015-04-22,10,57
2015-04-23,11,62
2015-04-24,12,59
2015-04-25,1,6
2015-04-26,0,1
2015-04-27,7,78
2015-04-28,14,124
2015-04-29,12,59
2015-04-30,13,78
2015-05-01,12,64
2015-05-02,1,4
2015-05-03,0,0
2015-05-04,2,9
2015-05-05,16,100
2015-05-06,7,62
2015-05-07,12,60
2015-05-08,12,58
2015-05-09,2,4
2015-05-10,2,2
2015-05-11,12,74
2015-05-12,6,61
2015-05-13,10,52
2015-05-14,6,49
2015-05-15,11,56
2015-05-16,5,10
2015-05-17,3,4
2015-05-18,20,100
2015-05-19,12,72
2015-05-20,11,78
2015-05-21,7,61
2015-05-22,11,60
2015-05-23,1,4
2015-05-24,1,5
2015-05-25,1,1
2015-05-26,10,52
2015-05-27,7,61
2015-05-28,7,52
2015-05-29,6,49
2015-05-30,0,2
2015-05-31,0,1
2015-06-01,10,91
2015-06-02,17,71
2015-06-03,9,53
2015-06-04,14,57
2015-06-05,4,37
2015-06-06,1,6
2015-06-07,1,1
2015-06-08,14,74
2015-06-09,13,66
2015-06-10,6,44
2015-06-11,6,42
2015-06-12,8,47
2015-06-13,3,7
2015-06-14,2,5
2015-06-15,8,70
2015-06-16,9,64
2015-06-17,10,47
2015-06-18,8,66
2015-06-19,10,59
2015-06-20,4,5
2015-06-21,1,2
2015-06-22,11,69
2015-06-23,8,52
2015-06-24,12,51
2015-06-25,4,54
2015-06-26,10,41
2015-06-27,1,2
2015-06-28,0,0
2015-06-29,9,82
2015-06-30,7,61
2015-07-01,13,70
2015-07-02,6,44
2015-07-03,4,41
2015-07-04,2,3
2015-07-05,1,1
2015-07-06,8,78
2015-07-07,14,51
2015-07-08,6,47
2015-07-09,22,77
2015-07-10,8,36
2015-07-11,1,6
2015-07-12,2,4
2015-07-13,12,77
2015-07-14,13,75
2015-07-15,11,62
2015-07-16,4,53
2015-07-17,1,42
2015-07-18,1,6
2015-07-19,2,3
2015-07-20,6,59
2015-07-21,9,58
2015-07-22,9,55
2015-07-23,10,50
2015-07-24,8,49
2015-07-25,4,6
2015-07-26,0,1
2015-07-27,13,65
2015-07-28,12,63
2015-07-29,9,42
2015-07-30,9,61
2015-07-31,4,45
2015-08-01,6,11
2015-08-02,2,5
2015-08-03,7,83
2015-08-04,6,53
2015-08-05,10,58
2015-08-06,8,60
2015-08-07,10,56
2015-08-08,2,3
2015-08-09,2,5
2015-08-10,16,70
2015-08-11,12,75
2015-08-12,7,49
2015-08-13,13,57
2015-08-14,5,37
2015-08-15,1,2
