"date"	"inc"
2010-01-01	263
2010-02-01	211
2010-03-01	196
2010-04-01	220
2010-05-01	163
2010-06-01	142
2010-07-01	182
2010-08-01	146
2010-09-01	189
2010-10-01	179
2010-11-01	183
2010-12-01	150
2011-01-01	231
2011-02-01	122
2011-03-01	197
2011-04-01	163
2011-05-01	158
2011-06-01	196
2011-07-01	127
2011-08-01	185
2011-09-01	156
2011-10-01	191
2011-11-01	152
2011-12-01	181
2012-01-01	242
2012-02-01	200
2012-03-01	190
2012-04-01	185
2012-05-01	201
2012-06-01	177
2012-07-01	186
2012-08-01	194
2012-09-01	172
2012-10-01	202
2012-11-01	193
2012-12-01	164
2013-01-01	266
2013-02-01	189
2013-03-01	176
2013-04-01	214
2013-05-01	190
2013-06-01	142
2013-07-01	158
2013-08-01	165
2013-09-01	169
2013-10-01	187
2013-11-01	191
2013-12-01	185
2014-01-01	254
2014-02-01	207
2014-03-01	190
2014-04-01	192
2014-05-01	207
2014-06-01	182
2014-07-01	207
2014-08-01	181
2014-09-01	169
2014-10-01	214
2014-11-01	188
2014-12-01	200
2015-01-01	263
2015-02-01	202
2015-03-01	246
2015-04-01	218
2015-05-01	221
2015-06-01	217
2015-07-01	216
2015-08-01	194
2015-09-01	223
2015-10-01	231
2015-11-01	228
2015-12-01	242
2016-01-01	278
2016-02-01	248
2016-03-01	274
2016-04-01	220
2016-05-01	225
2016-06-01	234
2016-07-01	261
2016-08-01	233
2016-09-01	227
2016-10-01	216
2016-11-01	250
2016-12-01	221
2017-01-01	267
2017-02-01	241
2017-03-01	302
2017-04-01	234
2017-05-01	263
2017-06-01	293
2017-07-01	277
2017-08-01	259
2017-09-01	273
2017-10-01	287
2017-11-01	271
2017-12-01	204
2018-01-01	332
2018-02-01	288
2018-03-01	271
2018-04-01	288
2018-05-01	289
2018-06-01	301
2018-07-01	268
2018-08-01	270
2018-09-01	244
2018-10-01	331
2018-11-01	298
2018-12-01	274
2019-01-01	320
2019-02-01	302
2019-03-01	332
2019-04-01	322
2019-05-01	345
2019-06-01	363
2019-07-01	301
2019-08-01	241
2019-09-01	269
2019-10-01	328
2019-11-01	335
2019-12-01	299
2020-01-01	345
2020-02-01	304
2020-03-01	273
2020-04-01	154
2020-05-01	154
2020-06-01	170
