Date,IncidenceOfDiabetes,PrevalenceOfDiabetes
2009-12-28,0,0
2009-12-29,2,11
2009-12-30,0,4
2009-12-31,3,10
2010-01-01,31,50
2010-01-02,0,0
2010-01-03,0,0
2010-01-04,1,21
2010-01-05,1,8
2010-01-06,1,17
2010-01-07,2,14
2010-01-08,0,15
2010-01-09,0,0
2010-01-10,0,0
2010-01-11,2,33
2010-01-12,3,15
2010-01-13,2,16
2010-01-14,3,15
2010-01-15,5,13
2010-01-16,0,0
2010-01-17,0,1
2010-01-18,3,27
2010-01-19,2,21
2010-01-20,3,15
2010-01-21,1,16
2010-01-22,5,18
2010-01-23,0,2
2010-01-24,0,0
2010-01-25,2,33
2010-01-26,1,17
2010-01-27,4,26
2010-01-28,3,16
2010-01-29,1,7
2010-01-30,0,0
2010-01-31,0,0
2010-02-01,0,14
2010-02-02,2,12
2010-02-03,0,10
2010-02-04,1,15
2010-02-05,3,21
2010-02-06,0,0
2010-02-07,0,0
2010-02-08,7,24
2010-02-09,3,14
2010-02-10,4,9
2010-02-11,7,17
2010-02-12,3,12
2010-02-13,0,0
2010-02-14,0,0
2010-02-15,4,30
2010-02-16,4,26
2010-02-17,4,22
2010-02-18,7,23
2010-02-19,2,13
2010-02-20,0,3
2010-02-21,0,0
2010-02-22,5,18
2010-02-23,1,32
2010-02-24,3,17
2010-02-25,2,11
2010-02-26,4,25
2010-02-27,0,0
2010-02-28,0,0
2010-03-01,9,27
2010-03-02,2,20
2010-03-03,3,16
2010-03-04,3,14
2010-03-05,3,19
2010-03-06,0,0
2010-03-07,0,0
2010-03-08,5,30
2010-03-09,3,22
2010-03-10,2,26
2010-03-11,0,15
2010-03-12,1,17
2010-03-13,3,3
2010-03-14,0,0
2010-03-15,3,22
2010-03-16,0,17
2010-03-17,5,12
2010-03-18,0,19
2010-03-19,2,13
2010-03-20,0,1
2010-03-21,0,0
2010-03-22,1,18
2010-03-23,6,32
2010-03-24,3,15
2010-03-25,4,18
2010-03-26,3,10
2010-03-27,0,0
2010-03-28,1,1
2010-03-29,6,28
2010-03-30,1,25
2010-03-31,2,17
2010-04-01,9,13
2010-04-02,0,0
2010-04-03,0,0
2010-04-04,0,0
2010-04-05,0,0
2010-04-06,4,21
2010-04-07,2,27
2010-04-08,4,26
2010-04-09,3,9
2010-04-10,0,6
2010-04-11,0,0
2010-04-12,6,26
2010-04-13,1,15
2010-04-14,7,23
2010-04-15,3,22
2010-04-16,3,24
2010-04-17,0,0
2010-04-18,0,0
2010-04-19,2,28
2010-04-20,3,17
2010-04-21,3,19
2010-04-22,2,15
2010-04-23,2,10
2010-04-24,0,0
2010-04-25,0,0
2010-04-26,3,24
2010-04-27,3,13
2010-04-28,5,19
2010-04-29,3,15
2010-04-30,3,15
2010-05-01,1,1
2010-05-02,0,0
2010-05-03,1,1
2010-05-04,3,21
2010-05-05,7,18
2010-05-06,8,33
2010-05-07,4,11
2010-05-08,0,0
2010-05-09,0,0
2010-05-10,4,23
2010-05-11,0,20
2010-05-12,2,14
2010-05-13,5,15
2010-05-14,2,13
2010-05-15,0,0
2010-05-16,0,0
2010-05-17,1,18
2010-05-18,1,18
2010-05-19,4,26
2010-05-20,1,15
2010-05-21,6,14
2010-05-22,0,1
2010-05-23,0,0
2010-05-24,4,24
2010-05-25,1,23
2010-05-26,2,18
2010-05-27,5,23
2010-05-28,0,6
2010-05-29,0,1
2010-05-30,1,1
2010-05-31,0,0
2010-06-01,3,20
2010-06-02,2,17
2010-06-03,4,22
2010-06-04,3,18
2010-06-05,0,0
2010-06-06,0,0
2010-06-07,3,21
2010-06-08,3,21
2010-06-09,1,11
2010-06-10,4,11
2010-06-11,4,13
2010-06-12,0,1
2010-06-13,1,2
2010-06-14,1,20
2010-06-15,4,14
2010-06-16,2,13
2010-06-17,2,23
2010-06-18,3,11
2010-06-19,0,2
2010-06-20,0,0
2010-06-21,2,22
2010-06-22,3,25
2010-06-23,6,26
2010-06-24,2,17
2010-06-25,1,5
2010-06-26,1,1
2010-06-27,0,0
2010-06-28,2,29
2010-06-29,6,16
2010-06-30,5,21
2010-07-01,4,20
2010-07-02,2,11
2010-07-03,0,0
2010-07-04,0,0
2010-07-05,8,27
2010-07-06,1,20
2010-07-07,4,20
2010-07-08,2,19
2010-07-09,2,15
2010-07-10,0,1
2010-07-11,0,0
2010-07-12,6,30
2010-07-13,5,28
2010-07-14,6,22
2010-07-15,3,21
2010-07-16,4,13
2010-07-17,0,1
2010-07-18,0,0
2010-07-19,1,24
2010-07-20,5,27
2010-07-21,2,19
2010-07-22,0,21
2010-07-23,3,26
2010-07-24,0,1
2010-07-25,0,0
2010-07-26,1,27
2010-07-27,5,17
2010-07-28,5,18
2010-07-29,0,16
2010-07-30,4,14
2010-07-31,0,0
2010-08-01,0,0
2010-08-02,4,10
2010-08-03,3,20
2010-08-04,1,15
2010-08-05,8,24
2010-08-06,4,20
2010-08-07,0,0
2010-08-08,2,2
2010-08-09,3,22
2010-08-10,1,17
2010-08-11,1,14
2010-08-12,2,22
2010-08-13,3,15
2010-08-14,0,4
2010-08-15,0,0
2010-08-16,5,28
2010-08-17,4,21
2010-08-18,1,13
2010-08-19,2,19
2010-08-20,2,9
2010-08-21,0,0
2010-08-22,0,0
2010-08-23,3,18
2010-08-24,7,29
2010-08-25,4,17
2010-08-26,2,19
2010-08-27,0,13
2010-08-28,0,0
2010-08-29,0,0
2010-08-30,0,0
2010-08-31,1,21
2010-09-01,4,10
2010-09-02,2,17
2010-09-03,0,15
2010-09-04,0,0
2010-09-05,1,1
2010-09-06,3,14
2010-09-07,1,15
2010-09-08,2,19
2010-09-09,6,21
2010-09-10,3,7
2010-09-11,0,1
2010-09-12,0,0
2010-09-13,1,16
2010-09-14,1,17
2010-09-15,4,19
2010-09-16,4,17
2010-09-17,2,10
2010-09-18,0,1
2010-09-19,0,0
2010-09-20,4,20
2010-09-21,3,27
2010-09-22,2,12
2010-09-23,1,11
2010-09-24,2,21
2010-09-25,0,1
2010-09-26,0,0
2010-09-27,3,23
2010-09-28,9,23
2010-09-29,1,12
2010-09-30,2,27
2010-10-01,7,15
2010-10-02,0,3
2010-10-03,0,0
2010-10-04,4,25
2010-10-05,4,21
2010-10-06,0,14
2010-10-07,2,15
2010-10-08,7,21
