"date"	"inc"
2010-01-01	445
2010-02-01	383
2010-03-01	463
2010-04-01	369
2010-05-01	374
2010-06-01	394
2010-07-01	380
2010-08-01	388
2010-09-01	387
2010-10-01	353
2010-11-01	460
2010-12-01	239
2011-01-01	467
2011-02-01	400
2011-03-01	432
2011-04-01	370
2011-05-01	424
2011-06-01	394
2011-07-01	343
2011-08-01	425
2011-09-01	440
2011-10-01	396
2011-11-01	423
2011-12-01	358
2012-01-01	535
2012-02-01	392
2012-03-01	417
2012-04-01	345
2012-05-01	440
2012-06-01	338
2012-07-01	383
2012-08-01	381
2012-09-01	407
2012-10-01	443
2012-11-01	412
2012-12-01	362
2013-01-01	556
2013-02-01	387
2013-03-01	409
2013-04-01	408
2013-05-01	416
2013-06-01	397
2013-07-01	397
2013-08-01	391
2013-09-01	442
2013-10-01	465
2013-11-01	426
2013-12-01	393
2014-01-01	559
2014-02-01	426
2014-03-01	467
2014-04-01	400
2014-05-01	473
2014-06-01	402
2014-07-01	482
2014-08-01	404
2014-09-01	489
2014-10-01	503
2014-11-01	496
2014-12-01	433
2015-01-01	564
2015-02-01	471
2015-03-01	571
2015-04-01	422
2015-05-01	418
2015-06-01	500
2015-07-01	477
2015-08-01	448
2015-09-01	484
2015-10-01	526
2015-11-01	547
2015-12-01	466
2016-01-01	617
2016-02-01	580
2016-03-01	548
2016-04-01	523
2016-05-01	494
2016-06-01	548
2016-07-01	516
2016-08-01	553
2016-09-01	601
2016-10-01	571
2016-11-01	588
2016-12-01	447
2017-01-01	640
2017-02-01	556
2017-03-01	659
2017-04-01	496
2017-05-01	623
2017-06-01	582
2017-07-01	570
2017-08-01	546
2017-09-01	626
2017-10-01	710
2017-11-01	710
2017-12-01	450
2018-01-01	696
2018-02-01	551
2018-03-01	623
2018-04-01	651
2018-05-01	627
2018-06-01	636
2018-07-01	673
2018-08-01	593
2018-09-01	685
2018-10-01	821
2018-11-01	740
2018-12-01	532
2019-01-01	774
2019-02-01	697
2019-03-01	806
2019-04-01	665
2019-05-01	690
2019-06-01	729
2019-07-01	711
2019-08-01	644
2019-09-01	743
2019-10-01	860
2019-11-01	813
2019-12-01	600
2020-01-01	765
2020-02-01	779
2020-03-01	535
2020-04-01	270
2020-05-01	284
