Date,IncidenceOfRespiratory,PrevalenceOfRespiratory
2015-01-01,29,67
2015-01-02,5,25
2015-01-03,0,2
2015-01-04,1,2
2015-01-05,10,58
2015-01-06,9,47
2015-01-07,3,38
2015-01-08,3,33
2015-01-09,7,27
2015-01-10,0,1
2015-01-11,0,0
2015-01-12,5,42
2015-01-13,7,36
2015-01-14,2,34
2015-01-15,7,37
2015-01-16,0,30
2015-01-17,0,0
2015-01-18,0,1
2015-01-19,5,48
2015-01-20,3,24
2015-01-21,3,36
2015-01-22,2,24
2015-01-23,3,29
2015-01-24,1,1
2015-01-25,1,1
2015-01-26,5,40
2015-01-27,7,37
2015-01-28,7,37
2015-01-29,1,32
2015-01-30,1,24
2015-01-31,1,3
2015-02-01,1,5
2015-02-02,7,44
2015-02-03,4,38
2015-02-04,9,35
2015-02-05,7,42
2015-02-06,1,22
2015-02-07,0,1
2015-02-08,0,0
2015-02-09,2,45
2015-02-10,4,38
2015-02-11,8,45
2015-02-12,4,37
2015-02-13,4,33
2015-02-14,0,3
2015-02-15,1,1
2015-02-16,6,32
2015-02-17,3,29
2015-02-18,5,33
2015-02-19,6,36
2015-02-20,5,37
2015-02-21,0,1
2015-02-22,0,1
2015-02-23,3,38
2015-02-24,7,54
2015-02-25,3,33
2015-02-26,3,34
2015-02-27,6,35
2015-02-28,0,2
2015-03-01,1,2
2015-03-02,4,58
2015-03-03,3,26
2015-03-04,6,34
2015-03-05,6,38
2015-03-06,0,29
2015-03-07,0,0
2015-03-08,0,1
2015-03-09,8,47
2015-03-10,7,47
2015-03-11,5,39
2015-03-12,5,29
2015-03-13,2,15
2015-03-14,0,0
2015-03-15,0,2
2015-03-16,3,40
2015-03-17,1,26
2015-03-18,1,28
2015-03-19,5,26
2015-03-20,4,20
2015-03-21,1,2
2015-03-22,0,0
2015-03-23,1,35
2015-03-24,4,32
2015-03-25,3,22
2015-03-26,7,40
2015-03-27,3,27
2015-03-28,0,0
2015-03-29,0,2
2015-03-30,2,40
2015-03-31,6,40
2015-04-01,2,34
2015-04-02,7,34
2015-04-03,0,1
2015-04-04,1,1
2015-04-05,0,0
2015-04-06,0,1
2015-04-07,4,35
2015-04-08,4,25
2015-04-09,2,32
2015-04-10,5,25
2015-04-11,0,1
2015-04-12,0,2
2015-04-13,3,27
2015-04-14,4,43
2015-04-15,6,25
2015-04-16,6,23
2015-04-17,6,21
2015-04-18,1,1
2015-04-19,0,0
2015-04-20,1,35
2015-04-21,8,37
2015-04-22,6,30
2015-04-23,5,26
2015-04-24,5,26
2015-04-25,0,1
2015-04-26,0,2
2015-04-27,1,36
2015-04-28,2,33
2015-04-29,2,26
2015-04-30,4,24
2015-05-01,11,36
2015-05-02,0,0
2015-05-03,2,2
2015-05-04,0,0
2015-05-05,6,37
2015-05-06,3,32
2015-05-07,4,30
2015-05-08,3,31
2015-05-09,0,3
2015-05-10,2,4
2015-05-11,3,36
2015-05-12,3,24
2015-05-13,6,28
2015-05-14,7,27
2015-05-15,4,14
2015-05-16,1,2
2015-05-17,0,1
2015-05-18,4,33
2015-05-19,5,35
2015-05-20,3,20
2015-05-21,7,29
2015-05-22,8,31
2015-05-23,0,0
2015-05-24,0,0
2015-05-25,1,1
2015-05-26,3,37
2015-05-27,2,34
2015-05-28,2,19
2015-05-29,1,19
2015-05-30,0,0
2015-05-31,0,0
2015-06-01,4,43
2015-06-02,4,32
2015-06-03,3,30
2015-06-04,10,33
2015-06-05,2,21
2015-06-06,0,0
2015-06-07,0,0
2015-06-08,5,41
2015-06-09,12,47
2015-06-10,5,34
2015-06-11,5,21
2015-06-12,4,25
2015-06-13,0,2
2015-06-14,0,1
2015-06-15,6,44
2015-06-16,5,31
2015-06-17,2,14
2015-06-18,5,23
2015-06-19,2,19
2015-06-20,0,0
2015-06-21,1,3
2015-06-22,5,37
2015-06-23,4,26
2015-06-24,8,35
2015-06-25,8,31
2015-06-26,5,22
2015-06-27,1,4
2015-06-28,1,2
2015-06-29,6,45
2015-06-30,5,27
2015-07-01,5,28
2015-07-02,5,32
2015-07-03,4,23
2015-07-04,0,1
2015-07-05,0,0
2015-07-06,4,29
2015-07-07,4,28
2015-07-08,4,28
2015-07-09,3,23
2015-07-10,5,17
2015-07-11,0,1
2015-07-12,1,1
2015-07-13,3,31
2015-07-14,4,28
2015-07-15,2,24
2015-07-16,2,20
2015-07-17,1,27
2015-07-18,0,2
2015-07-19,0,0
2015-07-20,4,36
2015-07-21,3,30
2015-07-22,7,29
2015-07-23,8,29
2015-07-24,4,28
2015-07-25,0,0
2015-07-26,0,0
2015-07-27,3,40
2015-07-28,5,38
2015-07-29,6,25
2015-07-30,2,24
2015-07-31,1,23
2015-08-01,2,2
2015-08-02,0,0
2015-08-03,7,39
2015-08-04,7,36
2015-08-05,5,33
2015-08-06,4,20
2015-08-07,5,17
2015-08-08,1,2
2015-08-09,1,2
2015-08-10,2,28
2015-08-11,3,36
2015-08-12,4,24
2015-08-13,5,26
2015-08-14,3,16
2015-08-15,1,1
2015-08-16,0,0
2015-08-17,4,35
2015-08-18,1,22
2015-08-19,3,17
2015-08-20,6,25
2015-08-21,5,19
2015-08-22,0,1
2015-08-23,0,1
2015-08-24,6,36
2015-08-25,3,25
2015-08-26,5,31
2015-08-27,3,24
2015-08-28,2,23
2015-08-29,1,1
2015-08-30,0,1
2015-08-31,1,2
2015-09-01,6,30
2015-09-02,3,24
2015-09-03,4,23
2015-09-04,4,13
2015-09-05,0,0
2015-09-06,0,0
2015-09-07,4,36
2015-09-08,6,34
2015-09-09,4,29
2015-09-10,3,27
2015-09-11,6,22
2015-09-12,0,0
2015-09-13,0,0
2015-09-14,5,31
2015-09-15,10,43
2015-09-16,5,32
2015-09-17,1,24
2015-09-18,5,23
2015-09-19,0,2
2015-09-20,0,1
2015-09-21,3,40
2015-09-22,5,27
2015-09-23,7,25
2015-09-24,0,25
2015-09-25,4,20
2015-09-26,0,0
2015-09-27,1,1
2015-09-28,4,34
2015-09-29,1,28
2015-09-30,2,20
2015-10-01,8,33
2015-10-02,2,24
2015-10-03,0,1
2015-10-04,2,3
2015-10-05,4,31
2015-10-06,1,36
2015-10-07,5,39
2015-10-08,9,37
2015-10-09,1,27
2015-10-10,0,1
2015-10-11,1,2
2015-10-12,2,27
2015-10-13,5,28
2015-10-14,4,23
2015-10-15,3,22
2015-10-16,3,29
2015-10-17,0,0
2015-10-18,1,1
2015-10-19,5,36
2015-10-20,4,32
2015-10-21,5,18
2015-10-22,4,22
2015-10-23,2,18
2015-10-24,0,4
2015-10-25,0,0
2015-10-26,3,28
2015-10-27,10,32
2015-10-28,3,27
2015-10-29,6,27
2015-10-30,4,32
2015-10-31,0,0
2015-11-01,0,3
2015-11-02,5,26
2015-11-03,5,34
2015-11-04,6,29
2015-11-05,3,32
2015-11-06,7,29
2015-11-07,0,2
2015-11-08,0,4
2015-11-09,3,33
2015-11-10,7,32
2015-11-11,6,29
2015-11-12,4,28
