Date,IncidenceOfAntidepressants,PrevalenceOfAntidepressants
2015-01-01,0,100
2015-01-02,7,686
2015-01-03,0,5
2015-01-04,0,3
2015-01-05,23,1174
2015-01-06,20,1051
2015-01-07,19,781
2015-01-08,15,800
2015-01-09,16,751
2015-01-10,0,11
2015-01-11,0,5
2015-01-12,18,1086
2015-01-13,19,952
2015-01-14,12,795
2015-01-15,15,657
2015-01-16,7,696
2015-01-17,1,11
2015-01-18,0,5
2015-01-19,23,996
2015-01-20,20,901
2015-01-21,17,729
2015-01-22,13,640
2015-01-23,18,667
2015-01-24,0,9
2015-01-25,0,6
2015-01-26,18,951
2015-01-27,14,891
2015-01-28,10,693
2015-01-29,15,719
2015-01-30,16,724
2015-01-31,0,8
2015-02-01,0,4
2015-02-02,24,1032
2015-02-03,17,904
2015-02-04,16,818
2015-02-05,13,743
2015-02-06,18,738
2015-02-07,1,10
2015-02-08,0,3
2015-02-09,10,1014
2015-02-10,21,975
2015-02-11,19,824
2015-02-12,18,764
2015-02-13,19,717
2015-02-14,0,13
2015-02-15,0,5
2015-02-16,11,1006
2015-02-17,18,872
2015-02-18,19,724
2015-02-19,11,667
2015-02-20,17,707
2015-02-21,0,11
2015-02-22,0,5
2015-02-23,18,995
2015-02-24,11,959
2015-02-25,17,771
2015-02-26,16,684
2015-02-27,21,811
2015-02-28,0,15
2015-03-01,0,5
2015-03-02,12,976
2015-03-03,10,893
2015-03-04,15,784
2015-03-05,15,757
2015-03-06,17,769
2015-03-07,1,8
2015-03-08,0,7
2015-03-09,14,1011
2015-03-10,20,1011
2015-03-11,13,752
2015-03-12,15,823
2015-03-13,18,738
2015-03-14,0,14
2015-03-15,0,8
2015-03-16,15,1035
2015-03-17,18,918
2015-03-18,10,738
2015-03-19,17,754
2015-03-20,14,747
2015-03-21,0,9
2015-03-22,0,7
2015-03-23,12,1045
2015-03-24,23,952
2015-03-25,22,791
2015-03-26,19,738
2015-03-27,16,739
2015-03-28,1,10
2015-03-29,0,6
2015-03-30,17,1108
2015-03-31,19,1005
2015-04-01,8,780
2015-04-02,13,848
2015-04-03,2,165
2015-04-04,0,8
2015-04-05,0,6
2015-04-06,1,275
2015-04-07,13,1087
2015-04-08,13,918
2015-04-09,11,941
2015-04-10,18,755
2015-04-11,0,15
2015-04-12,0,7
2015-04-13,15,997
2015-04-14,17,1038
2015-04-15,14,774
2015-04-16,18,751
2015-04-17,16,727
2015-04-18,0,8
2015-04-19,0,6
2015-04-20,12,1005
2015-04-21,17,997
2015-04-22,8,763
2015-04-23,15,781
2015-04-24,7,685
2015-04-25,1,11
2015-04-26,0,8
2015-04-27,12,959
2015-04-28,9,934
2015-04-29,17,783
2015-04-30,14,798
2015-05-01,18,777
2015-05-02,0,8
2015-05-03,0,8
2015-05-04,0,246
2015-05-05,18,1089
2015-05-06,7,854
2015-05-07,20,847
2015-05-08,16,800
2015-05-09,0,10
2015-05-10,0,8
2015-05-11,15,1080
2015-05-12,14,918
2015-05-13,9,835
2015-05-14,22,813
2015-05-15,11,721
2015-05-16,0,9
2015-05-17,0,5
2015-05-18,21,1064
2015-05-19,18,987
2015-05-20,15,819
2015-05-21,13,795
2015-05-22,18,761
2015-05-23,0,9
2015-05-24,0,5
2015-05-25,0,233
2015-05-26,10,1058
2015-05-27,7,942
2015-05-28,15,769
2015-05-29,14,706
2015-05-30,0,12
2015-05-31,0,7
2015-06-01,19,992
2015-06-02,22,937
2015-06-03,11,767
2015-06-04,17,824
2015-06-05,10,713
2015-06-06,0,7
2015-06-07,0,9
2015-06-08,22,1069
2015-06-09,9,957
2015-06-10,15,780
2015-06-11,8,740
2015-06-12,9,726
2015-06-13,0,14
2015-06-14,0,10
2015-06-15,15,975
2015-06-16,13,910
2015-06-17,17,740
2015-06-18,19,804
2015-06-19,15,727
2015-06-20,3,11
2015-06-21,0,10
2015-06-22,14,1000
2015-06-23,12,987
2015-06-24,16,792
2015-06-25,8,702
2015-06-26,17,760
2015-06-27,2,8
2015-06-28,0,10
2015-06-29,13,1018
2015-06-30,11,883
2015-07-01,9,780
2015-07-02,14,701
2015-07-03,9,751
2015-07-04,0,3
2015-07-05,0,6
2015-07-06,18,1009
2015-07-07,11,997
2015-07-08,6,773
2015-07-09,25,757
2015-07-10,11,722
2015-07-11,1,10
2015-07-12,0,9
2015-07-13,17,1078
2015-07-14,15,947
2015-07-15,16,808
2015-07-16,13,788
2015-07-17,18,744
2015-07-18,0,7
2015-07-19,0,11
2015-07-20,17,1029
2015-07-21,14,968
2015-07-22,16,787
2015-07-23,14,721
2015-07-24,11,773
2015-07-25,0,14
2015-07-26,0,10
2015-07-27,16,1001
2015-07-28,8,929
2015-07-29,13,799
2015-07-30,12,757
2015-07-31,12,725
2015-08-01,0,4
2015-08-02,0,10
2015-08-03,14,1065
2015-08-04,13,991
2015-08-05,16,791
2015-08-06,13,737
2015-08-07,9,753
2015-08-08,0,10
2015-08-09,0,10
2015-08-10,17,1067
2015-08-11,19,918
2015-08-12,16,821
2015-08-13,12,736
2015-08-14,12,733
2015-08-15,0,8
2015-08-16,0,11
2015-08-17,18,1088
2015-08-18,20,950
2015-08-19,12,789
2015-08-20,13,732
2015-08-21,14,719
2015-08-22,0,4
2015-08-23,0,16
2015-08-24,15,1099
2015-08-25,17,873
2015-08-26,13,840
2015-08-27,20,806
2015-08-28,12,777
2015-08-29,0,9
2015-08-30,0,13
2015-08-31,0,279
2015-09-01,14,1067
2015-09-02,18,933
2015-09-03,15,856
2015-09-04,16,828
2015-09-05,0,10
2015-09-06,0,19
2015-09-07,17,999
2015-09-08,17,987
2015-09-09,8,835
2015-09-10,12,816
2015-09-11,11,728
2015-09-12,0,26
2015-09-13,0,17
2015-09-14,13,1030
2015-09-15,18,922
2015-09-16,15,799
2015-09-17,13,791
2015-09-18,14,791
2015-09-19,0,11
2015-09-20,0,26
2015-09-21,17,999
2015-09-22,13,921
2015-09-23,19,869
2015-09-24,13,813
2015-09-25,18,752
2015-09-26,0,8
2015-09-27,0,22
2015-09-28,15,977
2015-09-29,17,942
2015-09-30,15,792
2015-10-01,18,788
2015-10-02,13,737
2015-10-03,0,14
2015-10-04,0,20
2015-10-05,20,964
2015-10-06,17,949
2015-10-07,19,764
2015-10-08,19,855
2015-10-09,15,790
2015-10-10,0,10
2015-10-11,0,21
2015-10-12,20,1052
2015-10-13,15,980
2015-10-14,13,801
2015-10-15,17,842
2015-10-16,12,779
2015-10-17,0,19
2015-10-18,0,20
2015-10-19,27,1073
2015-10-20,14,922
2015-10-21,15,852
2015-10-22,9,752
2015-10-23,13,737
2015-10-24,1,12
2015-10-25,0,19
2015-10-26,13,1131
2015-10-27,20,851
2015-10-28,12,801
2015-10-29,13,761
2015-10-30,11,814
2015-10-31,1,7
2015-11-01,0,20
2015-11-02,21,1160
2015-11-03,11,915
2015-11-04,17,804
2015-11-05,20,807
2015-11-06,22,811
2015-11-07,1,17
2015-11-08,0,13
2015-11-09,20,1088
2015-11-10,15,852
2015-11-11,12,834
2015-11-12,14,868
2015-11-13,14,776
2015-11-14,0,16
2015-11-15,0,9
2015-11-16,13,1124
2015-11-17,9,1017
2015-11-18,25,844
2015-11-19,15,782
2015-11-20,13,764
2015-11-21,1,22
2015-11-22,0,12
2015-11-23,20,1176
2015-11-24,22,924
2015-11-25,13,772
2015-11-26,11,807
2015-11-27,15,755
2015-11-28,1,21
2015-11-29,0,11
2015-11-30,15,1149
2015-12-01,17,947
2015-12-02,11,802
2015-12-03,13,806
2015-12-04,16,774
2015-12-05,0,15
2015-12-06,0,12
2015-12-07,19,1144
2015-12-08,21,1033
2015-12-09,13,821
2015-12-10,14,865
2015-12-11,15,857
2015-12-12,0,19
2015-12-13,0,13
2015-12-14,17,1340
2015-12-15,11,1052
2015-12-16,18,950
2015-12-17,18,964
2015-12-18,9,928
2015-12-19,0,19
2015-12-20,0,15
2015-12-21,20,1366
2015-12-22,19,1036
2015-12-23,6,711
2015-12-24,4,563
2015-12-25,0,174
2015-12-26,0,4
2015-12-27,0,12
2015-12-28,0,342
2015-12-29,13,915
2015-12-30,11,737
2015-12-31,5,642
2016-01-01,0,143
2016-01-02,0,4
2016-01-03,1,12
2016-01-04,13,1212
2016-01-05,22,1068
2016-01-06,12,925
2016-01-07,14,920
2016-01-08,22,799
2016-01-09,4,26
2016-01-10,0,11
2016-01-11,24,1164
2016-01-12,14,1114
2016-01-13,15,910
2016-01-14,18,832
2016-01-15,19,701
2016-01-16,1,14
2016-01-17,0,18
2016-01-18,19,1166
2016-01-19,15,1010
2016-01-20,13,789
2016-01-21,14,757
2016-01-22,10,669
2016-01-23,2,13
2016-01-24,0,10
2016-01-25,15,1054
2016-01-26,15,989
2016-01-27,9,798
2016-01-28,11,756
2016-01-29,16,691
2016-01-30,0,10
2016-01-31,0,9
2016-02-01,20,1120
2016-02-02,16,991
2016-02-03,16,788
2016-02-04,15,770
2016-02-05,16,759
2016-02-06,0,10
2016-02-07,0,10
2016-02-08,14,1142
2016-02-09,9,984
2016-02-10,10,774
