Date,IncidenceOfBenzodiaepines,PrevalenceOfBenzodiaepines
2015-01-01,0,19
2015-01-02,5,82
2015-01-03,0,0
2015-01-04,0,0
2015-01-05,8,139
2015-01-06,7,94
2015-01-07,2,82
2015-01-08,5,88
2015-01-09,3,65
2015-01-10,0,0
2015-01-11,0,0
2015-01-12,9,147
2015-01-13,3,111
2015-01-14,3,71
2015-01-15,12,80
2015-01-16,5,82
2015-01-17,0,0
2015-01-18,0,0
2015-01-19,11,119
2015-01-20,7,99
2015-01-21,4,73
2015-01-22,6,68
2015-01-23,0,73
2015-01-24,0,1
2015-01-25,0,0
2015-01-26,4,115
2015-01-27,4,97
2015-01-28,3,81
2015-01-29,8,91
2015-01-30,2,83
2015-01-31,0,0
2015-02-01,0,0
2015-02-02,5,116
2015-02-03,7,89
2015-02-04,3,85
2015-02-05,3,82
2015-02-06,10,75
2015-02-07,0,0
2015-02-08,0,0
2015-02-09,3,106
2015-02-10,4,104
2015-02-11,3,101
2015-02-12,10,97
2015-02-13,2,65
2015-02-14,0,0
2015-02-15,0,0
2015-02-16,7,117
2015-02-17,4,105
2015-02-18,3,91
2015-02-19,6,78
2015-02-20,1,76
2015-02-21,0,0
2015-02-22,0,0
2015-02-23,4,105
2015-02-24,2,93
2015-02-25,6,83
2015-02-26,4,90
2015-02-27,9,78
2015-02-28,0,0
2015-03-01,0,0
2015-03-02,11,142
2015-03-03,6,98
2015-03-04,6,78
2015-03-05,6,86
2015-03-06,2,78
2015-03-07,0,0
2015-03-08,0,0
2015-03-09,5,111
2015-03-10,3,95
2015-03-11,5,78
2015-03-12,8,103
2015-03-13,6,78
2015-03-14,0,0
2015-03-15,0,0
2015-03-16,10,123
2015-03-17,6,101
2015-03-18,4,86
2015-03-19,3,90
2015-03-20,4,69
2015-03-21,0,0
2015-03-22,0,0
2015-03-23,6,112
2015-03-24,6,98
2015-03-25,5,95
2015-03-26,6,89
2015-03-27,2,75
2015-03-28,0,0
2015-03-29,0,1
2015-03-30,6,141
2015-03-31,4,112
2015-04-01,4,94
2015-04-02,2,86
2015-04-03,1,11
2015-04-04,0,1
2015-04-05,1,3
2015-04-06,0,36
2015-04-07,9,133
2015-04-08,3,103
2015-04-09,7,94
2015-04-10,9,91
2015-04-11,0,2
2015-04-12,0,0
2015-04-13,2,110
2015-04-14,4,108
2015-04-15,4,94
2015-04-16,5,86
2015-04-17,3,67
2015-04-18,0,0
2015-04-19,0,0
2015-04-20,1,104
2015-04-21,4,110
2015-04-22,4,101
2015-04-23,9,107
2015-04-24,8,79
2015-04-25,1,1
2015-04-26,0,0
2015-04-27,7,121
2015-04-28,5,115
2015-04-29,6,103
2015-04-30,5,98
2015-05-01,1,78
2015-05-02,0,0
2015-05-03,0,0
2015-05-04,0,35
2015-05-05,7,132
2015-05-06,5,101
2015-05-07,3,90
2015-05-08,3,75
2015-05-09,0,1
2015-05-10,0,0
2015-05-11,11,126
2015-05-12,2,107
2015-05-13,7,94
2015-05-14,6,90
2015-05-15,6,75
2015-05-16,0,0
2015-05-17,0,0
2015-05-18,12,121
2015-05-19,8,109
2015-05-20,2,93
2015-05-21,6,106
2015-05-22,7,92
2015-05-23,0,1
2015-05-24,0,0
2015-05-25,0,31
2015-05-26,7,132
2015-05-27,7,104
2015-05-28,2,83
2015-05-29,5,86
2015-05-30,0,1
2015-05-31,0,0
2015-06-01,10,101
2015-06-02,3,89
2015-06-03,3,91
2015-06-04,9,103
2015-06-05,6,86
2015-06-06,0,0
2015-06-07,0,0
2015-06-08,5,109
2015-06-09,8,111
2015-06-10,4,95
2015-06-11,8,109
2015-06-12,3,99
2015-06-13,0,1
2015-06-14,0,0
2015-06-15,4,100
2015-06-16,6,102
2015-06-17,3,87
2015-06-18,1,97
2015-06-19,3,84
2015-06-20,0,0
2015-06-21,0,1
2015-06-22,7,119
2015-06-23,5,104
2015-06-24,4,84
2015-06-25,4,79
2015-06-26,3,95
2015-06-27,0,2
2015-06-28,0,1
2015-06-29,2,113
2015-06-30,9,119
2015-07-01,4,63
2015-07-02,4,85
2015-07-03,3,85
2015-07-04,0,0
2015-07-05,0,0
2015-07-06,3,97
2015-07-07,8,116
2015-07-08,10,90
2015-07-09,2,95
2015-07-10,6,94
2015-07-11,0,0
2015-07-12,0,0
2015-07-13,6,130
2015-07-14,5,123
2015-07-15,5,81
2015-07-16,4,91
2015-07-17,9,80
2015-07-18,0,1
2015-07-19,0,1
2015-07-20,7,101
2015-07-21,3,105
2015-07-22,4,80
2015-07-23,1,77
2015-07-24,4,73
2015-07-25,0,2
2015-07-26,0,1
2015-07-27,6,131
2015-07-28,8,105
2015-07-29,5,88
2015-07-30,4,86
2015-07-31,4,81
2015-08-01,0,0
2015-08-02,0,0
2015-08-03,4,122
2015-08-04,3,97
2015-08-05,3,92
2015-08-06,4,87
2015-08-07,5,82
2015-08-08,0,0
2015-08-09,0,0
2015-08-10,4,137
2015-08-11,5,102
2015-08-12,2,80
2015-08-13,3,88
2015-08-14,1,79
2015-08-15,0,0
2015-08-16,0,0
2015-08-17,6,137
2015-08-18,4,87
2015-08-19,2,72
2015-08-20,4,88
2015-08-21,5,90
2015-08-22,0,0
2015-08-23,0,1
2015-08-24,12,133
2015-08-25,6,113
2015-08-26,6,86
2015-08-27,5,101
2015-08-28,6,88
2015-08-29,0,1
2015-08-30,0,1
2015-08-31,0,44
2015-09-01,3,126
2015-09-02,8,103
2015-09-03,3,113
2015-09-04,5,86
2015-09-05,0,2
2015-09-06,0,3
2015-09-07,10,108
2015-09-08,9,111
2015-09-09,6,88
2015-09-10,7,106
2015-09-11,5,58
2015-09-12,0,3
2015-09-13,0,3
2015-09-14,6,112
2015-09-15,4,87
2015-09-16,1,90
2015-09-17,7,94
2015-09-18,6,81
2015-09-19,0,2
2015-09-20,0,5
2015-09-21,3,107
2015-09-22,3,112
2015-09-23,3,80
2015-09-24,12,107
2015-09-25,6,71
2015-09-26,0,2
2015-09-27,0,3
2015-09-28,4,103
2015-09-29,4,105
2015-09-30,8,102
2015-10-01,4,103
2015-10-02,3,85
2015-10-03,0,3
2015-10-04,0,1
2015-10-05,7,116
2015-10-06,4,90
2015-10-07,6,90
2015-10-08,10,89
2015-10-09,4,77
2015-10-10,0,4
2015-10-11,0,1
2015-10-12,4,118
2015-10-13,7,112
2015-10-14,4,87
2015-10-15,4,91
2015-10-16,6,86
2015-10-17,0,3
2015-10-18,0,2
2015-10-19,6,111
2015-10-20,7,103
2015-10-21,4,84
2015-10-22,4,90
2015-10-23,7,76
2015-10-24,0,2
2015-10-25,0,1
2015-10-26,8,125
2015-10-27,8,105
2015-10-28,5,72
2015-10-29,5,98
2015-10-30,0,77
2015-10-31,0,1
2015-11-01,0,1
2015-11-02,4,121
2015-11-03,9,108
2015-11-04,5,68
2015-11-05,3,94
2015-11-06,3,87
2015-11-07,0,3
2015-11-08,0,1
2015-11-09,7,123
2015-11-10,4,90
2015-11-11,4,80
2015-11-12,9,105
2015-11-13,8,77
2015-11-14,0,2
2015-11-15,0,0
2015-11-16,6,117
2015-11-17,6,111
2015-11-18,6,92
2015-11-19,3,83
2015-11-20,7,84
2015-11-21,0,3
2015-11-22,0,0
2015-11-23,7,138
2015-11-24,4,96
2015-11-25,7,88
2015-11-26,3,88
2015-11-27,3,89
2015-11-28,0,1
2015-11-29,0,1
2015-11-30,4,126
2015-12-01,5,107
2015-12-02,4,77
2015-12-03,6,88
2015-12-04,7,90
2015-12-05,0,2
2015-12-06,0,0
2015-12-07,3,129
2015-12-08,6,127
2015-12-09,6,82
2015-12-10,7,100
