Date,IncidenceOfHypertension,PrevalenceOfHypertension
2015-01-01,0,0
2015-01-02,7,45
2015-01-03,0,0
2015-01-04,0,0
2015-01-05,7,36
2015-01-06,6,39
2015-01-07,1,26
2015-01-08,4,38
2015-01-09,4,24
2015-01-10,0,1
2015-01-11,0,0
2015-01-12,5,54
2015-01-13,6,50
2015-01-14,3,31
2015-01-15,2,33
2015-01-16,4,24
2015-01-17,1,1
2015-01-18,0,0
2015-01-19,2,31
2015-01-20,4,32
2015-01-21,3,21
2015-01-22,8,27
2015-01-23,7,27
2015-01-24,1,1
2015-01-25,1,1
2015-01-26,8,54
2015-01-27,10,37
2015-01-28,4,23
2015-01-29,2,25
2015-01-30,6,33
2015-01-31,0,1
2015-02-01,3,6
2015-02-02,4,53
2015-02-03,3,35
2015-02-04,8,42
2015-02-05,4,29
2015-02-06,3,34
2015-02-07,0,2
2015-02-08,0,2
2015-02-09,4,39
2015-02-10,1,44
2015-02-11,3,37
2015-02-12,8,44
2015-02-13,3,20
2015-02-14,0,1
2015-02-15,0,0
2015-02-16,3,43
2015-02-17,4,48
2015-02-18,7,33
2015-02-19,4,44
2015-02-20,6,36
2015-02-21,0,0
2015-02-22,0,0
2015-02-23,6,44
2015-02-24,9,60
2015-02-25,5,28
2015-02-26,5,37
2015-02-27,4,32
2015-02-28,0,1
2015-03-01,2,3
2015-03-02,1,42
2015-03-03,2,42
2015-03-04,4,21
2015-03-05,8,45
2015-03-06,5,29
2015-03-07,1,2
2015-03-08,0,0
2015-03-09,4,47
2015-03-10,6,44
2015-03-11,7,32
2015-03-12,4,27
2015-03-13,9,33
2015-03-14,0,2
2015-03-15,0,0
2015-03-16,4,54
2015-03-17,4,37
2015-03-18,4,40
2015-03-19,8,40
2015-03-20,2,40
2015-03-21,0,0
2015-03-22,0,1
2015-03-23,3,52
2015-03-24,8,43
2015-03-25,6,40
2015-03-26,7,46
2015-03-27,9,33
2015-03-28,0,1
2015-03-29,0,0
2015-03-30,14,49
2015-03-31,7,61
2015-04-01,5,44
2015-04-02,4,31
2015-04-03,1,2
2015-04-04,0,1
2015-04-05,0,0
2015-04-06,1,4
2015-04-07,8,44
2015-04-08,2,51
2015-04-09,6,37
2015-04-10,3,27
2015-04-11,1,3
2015-04-12,0,0
2015-04-13,4,49
2015-04-14,4,46
2015-04-15,3,34
2015-04-16,1,30
2015-04-17,7,35
2015-04-18,0,0
2015-04-19,0,0
2015-04-20,7,62
2015-04-21,7,36
2015-04-22,1,24
2015-04-23,5,35
2015-04-24,6,36
2015-04-25,0,1
2015-04-26,0,1
2015-04-27,4,54
2015-04-28,6,91
2015-04-29,4,34
2015-04-30,9,54
2015-05-01,10,43
2015-05-02,1,2
2015-05-03,0,0
2015-05-04,0,1
2015-05-05,9,56
2015-05-06,4,38
2015-05-07,6,36
2015-05-08,9,39
2015-05-09,0,2
2015-05-10,0,0
2015-05-11,7,44
2015-05-12,3,37
2015-05-13,4,28
2015-05-14,4,26
2015-05-15,9,31
2015-05-16,1,1
2015-05-17,0,0
2015-05-18,7,55
2015-05-19,8,43
2015-05-20,11,52
2015-05-21,6,36
2015-05-22,6,36
2015-05-23,0,0
2015-05-24,0,0
2015-05-25,0,0
2015-05-26,3,28
2015-05-27,3,37
2015-05-28,0,23
2015-05-29,2,15
2015-05-30,0,0
2015-05-31,0,0
2015-06-01,2,49
2015-06-02,10,44
2015-06-03,4,32
2015-06-04,8,34
2015-06-05,3,22
