Date,IncidenceOfHypertension,PrevalenceOfHypertension
2015-01-01,0,0
2015-01-02,7,41
2015-01-03,0,0
2015-01-04,0,0
2015-01-05,7,36
2015-01-06,6,36
2015-01-07,1,25
2015-01-08,4,39
2015-01-09,4,23
2015-01-10,0,1
2015-01-11,0,0
2015-01-12,5,55
2015-01-13,4,48
2015-01-14,2,31
2015-01-15,2,33
2015-01-16,4,24
2015-01-17,1,1
2015-01-18,0,0
2015-01-19,2,28
2015-01-20,4,31
2015-01-21,3,18
2015-01-22,7,27
2015-01-23,8,29
2015-01-24,0,0
2015-01-25,1,1
2015-01-26,8,52
2015-01-27,10,35
2015-01-28,4,22
2015-01-29,3,27
2015-01-30,6,32
2015-01-31,0,1
2015-02-01,3,6
2015-02-02,3,49
2015-02-03,3,32
2015-02-04,8,42
2015-02-05,4,27
2015-02-06,3,35
2015-02-07,0,3
2015-02-08,0,2
2015-02-09,4,38
2015-02-10,2,41
2015-02-11,2,37
2015-02-12,7,39
2015-02-13,4,23
2015-02-14,0,1
2015-02-15,0,0
2015-02-16,3,35
2015-02-17,4,47
2015-02-18,7,32
2015-02-19,4,44
2015-02-20,6,36
2015-02-21,0,0
2015-02-22,0,0
2015-02-23,6,42
2015-02-24,9,53
2015-02-25,4,25
2015-02-26,6,37
2015-02-27,4,29
2015-02-28,0,1
2015-03-01,1,2
2015-03-02,1,40
2015-03-03,2,36
2015-03-04,2,21
2015-03-05,7,42
2015-03-06,5,28
2015-03-07,1,2
2015-03-08,0,0
2015-03-09,4,46
2015-03-10,6,39
2015-03-11,6,31
2015-03-12,4,27
2015-03-13,9,34
2015-03-14,0,2
2015-03-15,0,0
2015-03-16,4,57
2015-03-17,4,39
2015-03-18,5,40
2015-03-19,7,37
2015-03-20,2,36
2015-03-21,0,0
2015-03-22,0,1
2015-03-23,3,50
2015-03-24,8,39
2015-03-25,6,38
2015-03-26,7,47
2015-03-27,8,34
2015-03-28,0,1
2015-03-29,0,0
2015-03-30,14,47
2015-03-31,7,59
2015-04-01,6,42
2015-04-02,4,30
2015-04-03,1,2
2015-04-04,0,1
2015-04-05,0,0
2015-04-06,1,4
2015-04-07,7,41
2015-04-08,2,53
2015-04-09,6,34
2015-04-10,3,25
2015-04-11,0,2
2015-04-12,0,0
2015-04-13,3,47
2015-04-14,4,46
2015-04-15,2,31
2015-04-16,1,29
2015-04-17,7,35
2015-04-18,0,0
2015-04-19,0,0
2015-04-20,6,57
2015-04-21,7,35
2015-04-22,1,22
2015-04-23,4,36
2015-04-24,6,34
2015-04-25,0,1
2015-04-26,0,1
2015-04-27,3,54
2015-04-28,6,88
2015-04-29,4,32
2015-04-30,8,52
2015-05-01,9,41
2015-05-02,1,2
2015-05-03,0,0
2015-05-04,0,1
2015-05-05,9,52
2015-05-06,4,36
2015-05-07,6,40
2015-05-08,10,39
2015-05-09,0,2
2015-05-10,0,0
2015-05-11,7,41
2015-05-12,2,35
2015-05-13,4,28
2015-05-14,4,27
2015-05-15,7,28
2015-05-16,1,1
2015-05-17,0,0
2015-05-18,7,52
2015-05-19,8,40
2015-05-20,11,50
2015-05-21,6,34
2015-05-22,6,35
2015-05-23,0,0
2015-05-24,0,0
2015-05-25,0,0
2015-05-26,3,27
2015-05-27,3,35
2015-05-28,0,23
2015-05-29,2,17
2015-05-30,0,0
2015-05-31,0,0
2015-06-01,2,47
2015-06-02,10,44
2015-06-03,5,33
2015-06-04,8,34
2015-06-05,3,24
2015-06-06,0,0
2015-06-07,0,0
2015-06-08,6,34
2015-06-09,8,43
2015-06-10,0,19
2015-06-11,2,22
2015-06-12,6,25
2015-06-13,0,0
2015-06-14,0,1
2015-06-15,5,43
2015-06-16,2,32
2015-06-17,5,35
2015-06-18,0,33
2015-06-19,2,24
2015-06-20,0,0
2015-06-21,1,1
2015-06-22,4,35
2015-06-23,4,29
2015-06-24,6,24
2015-06-25,0,35
2015-06-26,6,29
2015-06-27,0,1
2015-06-28,0,0
2015-06-29,6,58
2015-06-30,5,34
2015-07-01,4,41
2015-07-02,3,25
2015-07-03,2,25
2015-07-04,2,2
2015-07-05,0,0
2015-07-06,3,45
2015-07-07,6,27
2015-07-08,3,30
2015-07-09,7,37
2015-07-10,4,19
2015-07-11,0,0
2015-07-12,0,0
2015-07-13,4,43
2015-07-14,7,43
2015-07-15,3,30
2015-07-16,1,27
2015-07-17,1,25
2015-07-18,0,1
