Date,IncidenceOfDepression,PrevalenceOfDepression
2015-01-01,36,48
2015-01-02,11,48
2015-01-03,0,1
2015-01-04,0,0
2015-01-05,15,92
2015-01-06,10,92
2015-01-07,12,69
2015-01-08,10,61
2015-01-09,11,59
2015-01-10,0,2
2015-01-11,0,0
2015-01-12,18,86
2015-01-13,18,95
2015-01-14,8,58
2015-01-15,14,66
2015-01-16,7,62
2015-01-17,0,3
2015-01-18,0,1
2015-01-19,13,76
2015-01-20,14,66
2015-01-21,13,64
2015-01-22,13,58
2015-01-23,15,58
2015-01-24,0,0
2015-01-25,0,2
2015-01-26,12,62
2015-01-27,19,81
2015-01-28,10,60
2015-01-29,16,60
2015-01-30,15,85
2015-01-31,2,3
2015-02-01,1,4
2015-02-02,17,68
2015-02-03,21,99
2015-02-04,15,69
2015-02-05,19,72
2015-02-06,11,67
2015-02-07,0,1
2015-02-08,0,2
2015-02-09,11,77
2015-02-10,17,77
2015-02-11,12,68
2015-02-12,22,91
2015-02-13,11,93
2015-02-14,1,1
2015-02-15,0,2
2015-02-16,9,70
2015-02-17,9,74
2015-02-18,7,71
2015-02-19,13,64
2015-02-20,16,64
2015-02-21,1,2
2015-02-22,0,1
2015-02-23,15,86
2015-02-24,13,89
2015-02-25,12,61
2015-02-26,12,76
2015-02-27,15,92
2015-02-28,0,2
2015-03-01,1,1
2015-03-02,14,85
2015-03-03,24,93
2015-03-04,11,70
2015-03-05,13,92
2015-03-06,15,71
2015-03-07,0,3
2015-03-08,0,1
2015-03-09,9,90
2015-03-10,18,89
2015-03-11,18,63
2015-03-12,14,66
2015-03-13,19,94
2015-03-14,0,0
2015-03-15,0,0
2015-03-16,15,90
2015-03-17,12,74
2015-03-18,9,60
2015-03-19,15,71
2015-03-20,8,67
2015-03-21,0,2
2015-03-22,0,0
2015-03-23,20,77
2015-03-24,18,95
2015-03-25,15,80
2015-03-26,17,83
2015-03-27,18,65
2015-03-28,0,2
2015-03-29,0,1
2015-03-30,8,67
2015-03-31,17,86
2015-04-01,12,60
2015-04-02,8,48
2015-04-03,1,1
2015-04-04,0,1
2015-04-05,0,0
2015-04-06,1,3
2015-04-07,9,65
2015-04-08,3,57
2015-04-09,6,68
2015-04-10,25,87
2015-04-11,0,0
2015-04-12,0,0
2015-04-13,16,81
2015-04-14,14,92
2015-04-15,8,55
2015-04-16,19,64
2015-04-17,16,74
2015-04-18,0,1
2015-04-19,0,1
2015-04-20,14,85
2015-04-21,18,93
2015-04-22,8,54
2015-04-23,9,77
2015-04-24,13,80
2015-04-25,1,2
2015-04-26,1,1
2015-04-27,6,73
2015-04-28,11,64
2015-04-29,6,62
