"date"	"inc"
2010-01-01	60
2010-02-01	54
2010-03-01	52
2010-04-01	55
2010-05-01	48
2010-06-01	54
2010-07-01	55
2010-08-01	43
2010-09-01	48
2010-10-01	39
2010-11-01	49
2010-12-01	39
2011-01-01	79
2011-02-01	50
2011-03-01	43
2011-04-01	42
2011-05-01	56
2011-06-01	54
2011-07-01	41
2011-08-01	30
2011-09-01	48
2011-10-01	36
2011-11-01	45
2011-12-01	26
2012-01-01	79
2012-02-01	49
2012-03-01	54
2012-04-01	35
2012-05-01	52
2012-06-01	40
2012-07-01	50
2012-08-01	53
2012-09-01	41
2012-10-01	44
2012-11-01	59
2012-12-01	41
2013-01-01	84
2013-02-01	46
2013-03-01	55
2013-04-01	69
2013-05-01	48
2013-06-01	38
2013-07-01	46
2013-08-01	46
2013-09-01	67
2013-10-01	49
2013-11-01	62
2013-12-01	52
2014-01-01	62
2014-02-01	49
2014-03-01	46
2014-04-01	57
2014-05-01	50
2014-06-01	48
2014-07-01	58
2014-08-01	32
2014-09-01	41
2014-10-01	47
2014-11-01	40
2014-12-01	38
2015-01-01	73
2015-02-01	60
2015-03-01	60
2015-04-01	82
2015-05-01	63
2015-06-01	68
2015-07-01	71
2015-08-01	59
2015-09-01	59
2015-10-01	74
2015-11-01	94
2015-12-01	68
2016-01-01	74
2016-02-01	90
2016-03-01	62
2016-04-01	101
2016-05-01	74
2016-06-01	55
2016-07-01	64
2016-08-01	70
2016-09-01	92
2016-10-01	71
2016-11-01	67
2016-12-01	76
2017-01-01	106
2017-02-01	73
2017-03-01	70
2017-04-01	56
2017-05-01	59
2017-06-01	60
2017-07-01	49
2017-08-01	52
2017-09-01	46
2017-10-01	70
2017-11-01	66
2017-12-01	58
2018-01-01	70
2018-02-01	85
2018-03-01	90
2018-04-01	99
2018-05-01	101
2018-06-01	83
2018-07-01	104
2018-08-01	76
2018-09-01	57
2018-10-01	72
2018-11-01	74
2018-12-01	80
2019-01-01	112
2019-02-01	95
2019-03-01	83
2019-04-01	85
2019-05-01	96
2019-06-01	103
2019-07-01	87
2019-08-01	74
2019-09-01	71
2019-10-01	67
2019-11-01	70
2019-12-01	72
2020-01-01	89
2020-02-01	77
2020-03-01	71
2020-04-01	43
2020-05-01	37
2020-06-01	45
2020-07-01	50
2020-08-01	60
