Date,IncidenceOfAnxietyDisorders,PrevalenceOfAnxietyDisorders
2015-01-01,22,31
2015-01-02,5,27
2015-01-03,1,1
2015-01-04,0,1
2015-01-05,16,45
2015-01-06,14,47
2015-01-07,10,42
2015-01-08,14,44
2015-01-09,9,28
2015-01-10,1,1
2015-01-11,0,1
2015-01-12,13,43
2015-01-13,19,51
2015-01-14,4,23
2015-01-15,8,31
2015-01-16,5,31
2015-01-17,0,0
2015-01-18,0,1
2015-01-19,17,45
2015-01-20,10,39
2015-01-21,4,29
2015-01-22,11,34
2015-01-23,13,38
2015-01-24,0,0
2015-01-25,0,1
2015-01-26,12,39
2015-01-27,9,47
2015-01-28,10,37
2015-01-29,17,39
2015-01-30,12,39
2015-01-31,1,1
2015-02-01,2,3
2015-02-02,7,32
2015-02-03,14,39
2015-02-04,6,29
2015-02-05,6,26
2015-02-06,11,43
2015-02-07,0,0
2015-02-08,0,3
2015-02-09,9,40
2015-02-10,12,39
2015-02-11,9,40
2015-02-12,12,42
2015-02-13,11,42
2015-02-14,0,0
2015-02-15,1,1
2015-02-16,11,33
2015-02-17,12,39
2015-02-18,11,36
2015-02-19,6,24
2015-02-20,9,38
2015-02-21,2,2
2015-02-22,0,0
2015-02-23,8,37
2015-02-24,8,32
2015-02-25,7,41
2015-02-26,18,46
2015-02-27,15,48
2015-02-28,0,2
2015-03-01,1,1
2015-03-02,9,36
2015-03-03,11,46
2015-03-04,8,33
2015-03-05,13,44
2015-03-06,13,40
2015-03-07,0,0
2015-03-08,0,1
2015-03-09,11,43
2015-03-10,13,44
2015-03-11,6,37
2015-03-12,10,34
2015-03-13,17,45
2015-03-14,0,0
2015-03-15,0,0
2015-03-16,17,55
2015-03-17,10,37
2015-03-18,14,47
2015-03-19,11,35
2015-03-20,14,40
2015-03-21,0,0
2015-03-22,0,0
2015-03-23,14,37
2015-03-24,11,45
2015-03-25,14,43
2015-03-26,8,32
2015-03-27,4,39
2015-03-28,0,1
2015-03-29,0,0
2015-03-30,10,32
2015-03-31,12,34
2015-04-01,10,46
2015-04-02,13,27
2015-04-03,0,0
2015-04-04,0,0
2015-04-05,0,1
2015-04-06,0,1
2015-04-07,10,43
2015-04-08,7,33
2015-04-09,11,39
2015-04-10,9,46
2015-04-11,0,1
2015-04-12,0,0
2015-04-13,8,31
2015-04-14,8,53
2015-04-15,10,32
2015-04-16,5,35
2015-04-17,9,33
2015-04-18,0,2
2015-04-19,1,1
2015-04-20,18,61
2015-04-21,10,36
2015-04-22,12,40
2015-04-23,6,26
2015-04-24,10,40
2015-04-25,1,2
2015-04-26,0,0
2015-04-27,5,35
2015-04-28,10,42
2015-04-29,8,41
2015-04-30,16,42
2015-05-01,7,32
2015-05-02,0,1
2015-05-03,0,0
2015-05-04,0,0
2015-05-05,6,42
2015-05-06,10,37
2015-05-07,16,49
2015-05-08,11,48
2015-05-09,1,3
2015-05-10,1,2
2015-05-11,10,42
2015-05-12,10,35
2015-05-13,12,37
2015-05-14,12,38
