Date,IncidenceOfDepression,PrevalenceOfDepression
2015-01-01,0,0
2015-01-02,10,46
2015-01-03,0,1
2015-01-04,0,0
2015-01-05,15,92
2015-01-06,10,93
2015-01-07,13,70
2015-01-08,10,62
2015-01-09,12,59
2015-01-10,0,2
2015-01-11,0,0
2015-01-12,19,87
2015-01-13,19,92
2015-01-14,8,57
2015-01-15,14,65
2015-01-16,7,60
2015-01-17,0,3
2015-01-18,0,1
2015-01-19,13,76
2015-01-20,15,66
2015-01-21,12,64
2015-01-22,13,57
2015-01-23,15,57
2015-01-24,0,0
2015-01-25,0,2
2015-01-26,12,62
2015-01-27,18,79
2015-01-28,10,59
2015-01-29,17,61
2015-01-30,15,84
2015-01-31,2,3
2015-02-01,1,4
2015-02-02,17,68
2015-02-03,20,97
2015-02-04,15,67
2015-02-05,18,71
2015-02-06,11,67
2015-02-07,0,1
2015-02-08,0,2
2015-02-09,11,76
2015-02-10,18,76
2015-02-11,12,67
2015-02-12,21,88
2015-02-13,10,93
2015-02-14,2,2
2015-02-15,0,2
2015-02-16,8,68
2015-02-17,8,70
2015-02-18,7,72
2015-02-19,13,64
2015-02-20,15,61
2015-02-21,1,2
2015-02-22,0,1
2015-02-23,14,84
2015-02-24,11,84
2015-02-25,12,60
2015-02-26,12,74
2015-02-27,13,90
2015-02-28,0,2
2015-03-01,1,1
2015-03-02,14,83
2015-03-03,24,92
2015-03-04,11,67
2015-03-05,13,93
2015-03-06,13,68
2015-03-07,0,3
2015-03-08,0,1
2015-03-09,9,89
2015-03-10,18,86
2015-03-11,18,62
2015-03-12,14,67
2015-03-13,18,92
2015-03-14,0,0
2015-03-15,0,0
2015-03-16,15,89
2015-03-17,12,71
2015-03-18,10,59
2015-03-19,15,70
2015-03-20,8,65
2015-03-21,0,2
2015-03-22,0,0
2015-03-23,20,76
2015-03-24,20,94
2015-03-25,15,80
2015-03-26,17,81
2015-03-27,18,65
2015-03-28,0,2
2015-03-29,0,1
2015-03-30,8,66
2015-03-31,17,83
2015-04-01,12,59
2015-04-02,8,49
2015-04-03,1,1
2015-04-04,0,1
2015-04-05,0,0
2015-04-06,1,3
2015-04-07,9,64
2015-04-08,2,55
2015-04-09,6,68
2015-04-10,24,81
2015-04-11,0,0
2015-04-12,1,1
2015-04-13,16,80
2015-04-14,14,92
2015-04-15,8,51
2015-04-16,20,61
2015-04-17,15,73
2015-04-18,0,1
2015-04-19,0,1
2015-04-20,14,86
2015-04-21,18,95
2015-04-22,8,52
2015-04-23,10,76
2015-04-24,11,77
2015-04-25,1,2
2015-04-26,1,1
2015-04-27,6,73
2015-04-28,11,64
2015-04-29,6,62
2015-04-30,10,74
2015-05-01,17,64
2015-05-02,0,1
2015-05-03,0,0
2015-05-04,1,2
2015-05-05,13,74
2015-05-06,7,55
2015-05-07,8,75
2015-05-08,7,66
2015-05-09,0,0
2015-05-10,0,0
2015-05-11,11,61
2015-05-12,11,58
2015-05-13,16,66
2015-05-14,10,64
2015-05-15,8,59
2015-05-16,0,2
2015-05-17,0,1
2015-05-18,19,81
2015-05-19,14,64
2015-05-20,20,79
2015-05-21,10,68
2015-05-22,10,54
2015-05-23,0,0
2015-05-24,0,0
2015-05-25,0,0
2015-05-26,13,63
2015-05-27,5,64
2015-05-28,10,49
2015-05-29,9,60
2015-05-30,0,0
2015-05-31,0,1
2015-06-01,25,84
2015-06-02,14,76
2015-06-03,16,61
2015-06-04,10,61
2015-06-05,6,52
2015-06-06,1,1
2015-06-07,1,2
2015-06-08,20,73
2015-06-09,8,72
2015-06-10,10,53
2015-06-11,7,69
2015-06-12,9,61
2015-06-13,0,1
2015-06-14,1,1
2015-06-15,12,61
2015-06-16,11,69
2015-06-17,6,69
2015-06-18,18,78
2015-06-19,14,64
2015-06-20,1,1
2015-06-21,0,0
2015-06-22,13,76
2015-06-23,14,73
2015-06-24,9,60
2015-06-25,7,52
2015-06-26,11,51
2015-06-27,0,2
2015-06-28,0,0
2015-06-29,10,72
2015-06-30,11,64
2015-07-01,9,62
2015-07-02,11,68
2015-07-03,14,52
2015-07-04,0,1
2015-07-05,0,1
2015-07-06,17,70
2015-07-07,14,71
2015-07-08,6,54
2015-07-09,15,70
2015-07-10,13,46
2015-07-11,0,0
2015-07-12,0,1
2015-07-13,8,65
2015-07-14,10,91
2015-07-15,14,67
2015-07-16,11,67
2015-07-17,9,62
2015-07-18,0,0
2015-07-19,0,0
2015-07-20,15,69
2015-07-21,12,70
2015-07-22,12,61
2015-07-23,14,88
2015-07-24,9,65
2015-07-25,0,1
2015-07-26,0,2
2015-07-27,20,68
2015-07-28,7,71
2015-07-29,11,66
2015-07-30,9,65
2015-07-31,7,56
2015-08-01,2,4
2015-08-02,0,0
2015-08-03,11,66
2015-08-04,17,72
2015-08-05,13,80
2015-08-06,11,62
2015-08-07,8,50
2015-08-08,0,1
2015-08-09,0,0
2015-08-10,12,63
2015-08-11,17,68
2015-08-12,12,67
2015-08-13,7,64
2015-08-14,11,55
2015-08-15,1,3
2015-08-16,0,0
2015-08-17,12,53
2015-08-18,6,51
2015-08-19,9,70
2015-08-20,15,62
2015-08-21,10,53
