readcode	description	count
^ESCT1299041	Telephone consultation for suspected 2019-nCoV (novel coronavirus)	68
^ESCT1299074	2019-nCoV (novel coronavirus) detected	1
^ESCT1299077	2019-nCoV (novel coronavirus) not detected	2
^ESCT1299116	Suspected disease caused by 2019-nCoV (novel coronavirus)	588
^ESCT1300244	COVID-19 excluded	14
^ESCT1300245	COVID-19 excluded by laboratory test	225
^ESCT1301217	Exposure to SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) infection	2
^ESCT1301227	Pneumonia caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)	1
^ESCT1301245	Suspected COVID-19	157
1JX1.	Suspected disease caused by 2019-nCoV (novel coronavirus)	182
65PW100	Exposure to 2019-nCoV (novel coronavirus) infection	10
8CAO.	Advice given about 2019-nCoV (novel coronavirus) infection	791
8CAO100	Advice given about 2019-nCoV (novel coronavirus) by telephon	363
EMISNQSU106	Suspected 2019-nCoV (Wuhan) infection	119
^ESCT1299035	Exposure to 2019-nCoV (novel coronavirus) infection	3
^ESCT1299113	Disease caused by 2019-nCoV (novel coronavirus)	21
^ESCT1300224	Low risk category for developing complication from COVID-19 infection	68
^ESCT1300236	Self-taken swab for SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) offered	1
^ESCT1300238	Swab for SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) taken by healthcare professional	1
^ESCT1301218	Close exposure to SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) infection	3
^ESCT1301243	COVID-19	15
1IP1.	COVID-19 excluded by laboratory test	1
1JX..	Suspected coronavirus infection	77
43jS100	Coronavirus ribonucleic acid detection assay	1
9N31200	Telephone consultation for suspected 2019-nCoV (novel corona	34
A795.	Coronavirus infection	33
A795100	Disease caused by 2019-nCoV (novel coronavirus)	25
A795200	COVID-19 confirmed by laboratory test	3
EMISNQEX59	Excluded 2019-nCoV (Wuhan) infection	29
^ESCT1299101	Educated about 2019-nCoV (novel coronavirus) infection	41
^ESCT1299107	Advice given about 2019-nCoV (novel coronavirus) by telephone	49
^ESCT1300223	Moderate risk category for developing complication from COVID-19 infection	348
^ESCT1300234	Self-taken swab for SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) completed	2
^ESCT1301230	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) detected	7
^ESCT1301239	Educated about SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) infection	10
^ESCT1301240	Advice given about SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) infection	350
14Oq.	Moderate risk category for developing complication COVID-19	2259
14Or.	High risk category for developing complication from COVID-19	3247
43jS1	Coronavirus ribonucleic acid detection assay	275
4JF6.	Taking of swab for SARS-CoV-2 (SARS coronavirus 2)	1
8HkjC00	Signposting to CHMS (COVID-19 Home Management Service)	1
EMISNQCO303	Confirmed 2019-nCoV (novel coronavirus) infection	27
EMISNQTE31	Tested for 2019-nCoV (novel coronavirus) infection	388
^ESCT1299080	High priority for 2019-nCoV (novel coronavirus) vaccination	1
^ESCT1299104	Advice given about 2019-nCoV (novel coronavirus) infection	223
^ESCT1300222	High risk category for developing complication from COVID-19 infection	3437
^ESCT1300228	COVID-19 confirmed by laboratory test	192
^ESCT1300229	COVID-19 confirmed using clinical diagnostic criteria	7
^ESCT1300255	Provision of advice, assessment or treatment limited due to COVID-19 pandemic	10
^ESCT1301231	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) not detected	2
^ESCT1301241	Advice given about SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) by telephone	2
141B.	H/O: viral illness  o/e nad.	1
43jS0	Coronavirus nucleic acid detection assay	1
4J3R.	2019-nCoV (novel coronavirus) serology	1
4J3R100	2019-nCoV (novel coronavirus) detected	30
4J3R200	2019-nCoV (novel coronavirus) not detected	9
65PW.	Coronavirus contact	4
EMISNQEX58	Exposure to 2019-nCoV (Wuhan) infection	3
H20y000	Severe acute respiratory syndrome - COVID19	1
