date	practiceId	practiceListSize	newCases
2020-03-01	P87002	11407	0
2020-03-02	P87002	11407	0
2020-03-03	P87002	11407	0
2020-03-04	P87002	11407	0
2020-03-05	P87002	11407	0
2020-03-06	P87002	11407	0
2020-03-07	P87002	11407	0
2020-03-08	P87002	11407	0
2020-03-09	P87002	11407	0
2020-03-10	P87002	11407	0
2020-03-11	P87002	11407	0
2020-03-12	P87002	11407	0
2020-03-13	P87002	11407	0
2020-03-14	P87002	11407	0
2020-03-15	P87002	11407	0
2020-03-16	P87002	11407	0
2020-03-17	P87002	11407	0
2020-03-18	P87002	11407	0
2020-03-19	P87002	11407	0
2020-03-20	P87002	11407	0
2020-03-21	P87002	11407	0
2020-03-22	P87002	11407	0
2020-03-23	P87002	11407	0
2020-03-24	P87002	11407	0
2020-03-25	P87002	11407	0
2020-03-26	P87002	11407	0
2020-03-27	P87002	11407	0
2020-03-28	P87002	11407	0
2020-03-29	P87002	11407	0
2020-03-30	P87002	11407	0
2020-03-31	P87002	11407	1
2020-04-01	P87002	11407	0
2020-04-02	P87002	11407	3
2020-04-03	P87002	11407	0
2020-04-04	P87002	11407	1
2020-04-05	P87002	11407	0
2020-04-06	P87002	11407	0
2020-04-07	P87002	11407	0
2020-04-08	P87002	11407	0
2020-04-09	P87002	11407	0
2020-04-10	P87002	11407	0
2020-04-11	P87002	11407	0
2020-04-12	P87002	11407	0
2020-04-13	P87002	11407	1
2020-04-14	P87002	11407	2
2020-04-15	P87002	11407	1
2020-04-16	P87002	11407	0
2020-04-17	P87002	11407	0
2020-04-18	P87002	11407	0
2020-04-19	P87002	11407	0
2020-04-20	P87002	11407	1
2020-04-21	P87002	11407	0
2020-04-22	P87002	11407	0
2020-04-23	P87002	11407	0
2020-04-24	P87002	11407	0
2020-04-25	P87002	11407	0
2020-04-26	P87002	11407	0
2020-04-27	P87002	11407	1
2020-04-28	P87002	11407	1
2020-04-29	P87002	11407	1
2020-04-30	P87002	11407	0
2020-05-01	P87002	11407	1
2020-05-02	P87002	11407	0
2020-05-03	P87002	11407	0
2020-05-04	P87002	11407	0
2020-05-05	P87002	11407	0
2020-05-06	P87002	11407	0
2020-05-07	P87002	11407	0
2020-05-08	P87002	11407	0
2020-05-09	P87002	11407	0
2020-05-10	P87002	11407	0
2020-05-11	P87002	11407	0
2020-05-12	P87002	11407	0
2020-03-01	P87003	3974	0
2020-03-02	P87003	3974	0
2020-03-03	P87003	3974	0
2020-03-04	P87003	3974	0
2020-03-05	P87003	3974	0
2020-03-06	P87003	3974	0
